Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 231, 70.14, 0.01, 16.92, 0.01, 6.79, 0.02, 3.61, 0.01, 89.36, 0.15, 1.88, 0.31, 0.85, 76.98, 0.052, 0.08, 0
0, 2, 400, 35.92, 0.16, 19.71, 0.01, 5.55, 0.23, 0.35, 0.02, 3.32, 0.29, 15.71, 0.88, 1.00, 6.17, 0.000, 0.64, 6
0, 3, 241, 16.41, 0.01, 31.12, 0.01, 7.60, 0.02, 3.73, 0.01, 88.75, 0.12, 2.04, 0.34, 0.87, 89.10, 0.051, 0.08, 0
0, 4, 400, 51.25, 0.13, 50.36, 0.01, 4.69, 0.20, 0.42, 0.02, 4.59, 0.43, 11.22, 0.84, 1.00, 6.16, 0.000, 0.67, 6
0, 5, 400, 67.02, 0.17, 71.16, 0.02, 5.03, 0.21, 0.42, 0.03, 4.17, 0.52, 12.03, 0.85, 1.00, 6.62, 0.000, 0.72, 6
0, 6, 213, 38.92, 0.01, 80.54, 0.01, 6.01, 0.01, 3.81, 0.01, 89.29, 0.20, 1.57, 0.22, 0.77, 71.98, 0.081, 0.06, 0
1, 1, 222, 41.81, 0.01, 17.84, 0.01, 6.69, 0.02, 3.61, 0.01, 89.01, 0.16, 1.86, 0.30, 0.84, 75.78, 0.045, 0.08, 6
1, 2, 400, 74.18, 0.14, 27.36, 0.01, 4.77, 0.20, 0.41, 0.02, 4.47, 0.37, 11.50, 0.84, 1.00, 6.22, 0.000, 0.68, 6
1, 3, 211, 90.06, 0.01, 74.46, 0.02, 6.21, 0.03, 3.58, 0.01, 87.86, 0.25, 1.73, 0.27, 0.82, 69.75, 0.063, 0.11, 0
2, 1, 400, 11.64, 0.14, 74.12, 0.03, 4.40, 0.16, 0.48, 0.03, 5.78, 0.64, 9.08, 0.80, 0.99, 6.69, 0.000, 0.76, 6
