Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 206, 81.85, 0.01, 19.27, 0.03, 6.92, 0.04, 2.64, 0.01, 88.08, 0.18, 2.62, 0.45, 0.92, 57.46, 0.069, 0.11, 0
0, 2, 154, 66.32, 0.01, 60.34, 0.02, 4.75, 0.02, 2.20, 0.01, 92.09, 0.19, 2.15, 0.37, 0.89, 32.90, 0.070, 0.06, 0
0, 3, 318, 38.00, 0.26, 60.58, 0.42, 7.89, 0.56, 2.84, 0.07, 62.98, 1.57, 2.78, 0.47, 0.93, 70.29, 0.029, 4.54, 6
1, 1, 223, 54.18, 0.01, 9.72, 0.02, 6.65, 0.03, 3.48, 0.01, 88.92, 0.18, 1.91, 0.31, 0.85, 72.70, 0.047, 0.10, 6
1, 2, 234, 91.62, 0.02, 18.15, 0.05, 5.83, 0.05, 3.39, 0.03, 80.06, 0.66, 1.72, 0.26, 0.81, 62.19, 0.039, 0.33, 6
1, 3, 284, 35.05, 0.11, 22.43, 0.41, 8.68, 0.74, 2.81, 0.08, 72.93, 1.51, 3.08, 0.51, 0.95, 76.64, 0.037, 11.02, 6
1, 4, 213, 28.24, 0.01, 31.71, 0.02, 6.89, 0.03, 2.93, 0.01, 89.48, 0.14, 2.35, 0.40, 0.91, 63.50, 0.060, 0.09, 0
1, 5, 158, 67.54, 0.01, 45.85, 0.01, 4.30, 0.01, 3.09, 0.01, 93.67, 0.36, 1.39, 0.16, 0.70, 41.73, 0.082, 0.06, 0
1, 6, 234, 28.54, 1.06, 46.75, 0.98, 6.36, 1.55, 2.83, 0.27, 61.65, 9.54, 2.24, 0.38, 0.90, 56.57, 0.032, 1.00, 6
1, 7, 169, 75.16, 0.01, 60.88, 0.02, 5.46, 0.03, 2.69, 0.02, 88.23, 0.27, 2.03, 0.34, 0.87, 46.17, 0.079, 0.12, 0
