Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 227, 77.45, 0.01, 22.25, 0.02, 7.40, 0.02, 3.59, 0.01, 91.14, 0.13, 2.06, 0.35, 0.87, 83.49, 0.056, 0.08, 0
0, 2, 400, 50.43, 0.13, 15.29, 0.01, 4.58, 0.18, 0.43, 0.02, 4.78, 0.44, 10.71, 0.83, 1.00, 6.16, 0.001, 0.67, 6
0, 3, 210, 9.53, 0.01, 34.99, 0.01, 5.65, 0.01, 4.02, 0.01, 98.49, 0.37, 1.41, 0.17, 0.70, 71.35, 0.077, 0.08, 0
0, 4, 258, 47.11, 0.07, 47.40, 0.15, 6.84, 0.12, 3.79, 0.06, 94.18, 1.33, 1.80, 0.29, 0.83, 81.48, 0.063, 85.53, 3
0, 5, 300, 54.55, 0.04, 52.49, 0.06, 7.58, 0.09, 4.05, 0.06, 90.28, 0.78, 1.87, 0.30, 0.85, 96.35, 0.049, 3.54, 6
1, 1, 400, 87.05, 0.17, 12.27, 0.03, 5.12, 0.21, 0.43, 0.03, 4.42, 0.55, 12.03, 0.85, 1.00, 6.85, 0.000, 0.72, 6
1, 2, 400, 10.47, 0.17, 25.01, 0.02, 5.03, 0.23, 0.42, 0.03, 4.18, 0.53, 12.01, 0.85, 1.00, 6.62, 0.000, 0.72, 6
1, 3, 247, 41.63, 0.01, 39.54, 0.02, 6.44, 0.03, 4.70, 0.02, 90.62, 0.54, 1.37, 0.16, 0.68, 95.07, 0.080, 0.16, 0
1, 4, 239, 64.94, 0.01, 43.00, 0.01, 6.75, 0.02, 4.07, 0.01, 93.59, 0.20, 1.66, 0.25, 0.80, 86.42, 0.048, 0.09, 6
1, 5, 228, 50.90, 0.01, 63.55, 0.02, 7.38, 0.03, 3.92, 0.01, 88.76, 0.17, 1.88, 0.31, 0.85, 90.75, 0.053, 0.10, 0
1, 6, 400, 89.34, 0.14, 81.41, 0.01, 4.68, 0.19, 0.42, 0.02, 4.60, 0.41, 11.13, 0.84, 1.00, 6.17, 0.000, 0.68, 6
2, 1, 223, 11.45, 0.01, 35.20, 0.02, 6.80, 0.02, 3.52, 0.01, 93.83, 0.15, 1.93, 0.32, 0.86, 75.22, 0.058, 0.08, 0
2, 2, 239, 44.55, 0.01, 72.49, 0.02, 7.48, 0.02, 3.13, 0.01, 90.33, 0.18, 2.39, 0.41, 0.91, 73.71, 0.040, 0.10, 6
2, 3, 400, 85.39, 0.13, 64.82, 0.02, 4.46, 0.16, 0.44, 0.02, 5.06, 0.47, 10.03, 0.82, 1.00, 6.22, 0.000, 0.70, 6
2, 4, 242, 35.53, 0.01, 74.33, 0.02, 7.59, 0.02, 3.76, 0.01, 90.68, 0.15, 2.02, 0.34, 0.87, 89.73, 0.048, 0.10, 6
3, 1, 213, 29.39, 0.01, 24.70, 0.01, 6.46, 0.02, 3.35, 0.01, 92.10, 0.16, 1.93, 0.32, 0.85, 68.06, 0.047, 0.07, 6
3, 2, 197, 56.33, 0.01, 25.20, 0.02, 6.46, 0.02, 3.16, 0.01, 89.31, 0.14, 2.04, 0.34, 0.87, 64.21, 0.057, 0.07, 0
3, 3, 400, 37.66, 0.13, 53.21, 0.01, 4.68, 0.18, 0.42, 0.02, 4.59, 0.37, 11.19, 0.84, 1.00, 6.16, 0.000, 0.68, 6
3, 4, 400, 8.48, 0.13, 54.21, 0.02, 4.85, 0.20, 0.42, 0.02, 4.44, 0.42, 11.62, 0.84, 1.00, 6.35, 0.000, 0.70, 6
3, 5, 228, 79.45, 0.01, 66.54, 0.01, 6.67, 0.01, 4.62, 0.01, 89.99, 0.21, 1.44, 0.18, 0.72, 96.86, 0.081, 0.06, 0
4, 1, 180, 61.26, 0.00, 13.15, 0.01, 5.98, 0.01, 3.01, 0.01, 92.08, 0.12, 1.99, 0.33, 0.86, 56.51, 0.093, 0.05, 0
4, 2, 400, 11.47, 0.15, 6.72, 0.01, 4.69, 0.21, 0.42, 0.02, 4.61, 0.39, 11.20, 0.84, 1.00, 6.16, 0.000, 0.68, 6
4, 3, 400, 67.21, 0.14, 36.70, 0.02, 4.40, 0.18, 0.48, 0.03, 5.72, 0.61, 9.13, 0.80, 0.99, 6.68, 0.000, 0.76, 6
4, 4, 400, 67.46, 0.19, 51.45, 0.02, 6.02, 0.24, 0.36, 0.02, 3.30, 0.40, 16.63, 0.89, 1.00, 6.85, 0.000, 0.65, 6
4, 5, 226, 45.18, 0.01, 78.24, 0.01, 6.77, 0.02, 3.48, 0.01, 90.71, 0.16, 1.94, 0.32, 0.86, 74.07, 0.044, 0.08, 6
5, 1, 232, 77.75, 0.01, 13.18, 0.02, 6.92, 0.02, 3.79, 0.01, 91.69, 0.19, 1.83, 0.29, 0.84, 82.35, 0.050, 0.10, 0
5, 2, 306, 50.19, 45.96, 24.45, 42.33, 24.59, 57.54, 3.13, 3.56, 111.69, 68.02, 7.85, 0.77, 0.99, 241.83, 0.047, 7.83, 6
5, 3, 202, 54.81, 0.01, 31.94, 0.02, 6.68, 0.03, 3.18, 0.01, 88.20, 0.17, 2.10, 0.36, 0.88, 66.74, 0.050, 0.09, 6
5, 4, 199, 45.07, 0.01, 41.68, 0.01, 5.89, 0.02, 4.04, 0.01, 92.10, 0.31, 1.46, 0.19, 0.73, 74.73, 0.089, 0.09, 0
6, 1, 123, 61.16, 2.24, 22.28, 1.76, 7.26, 2.88, 2.42, 0.29, 25.35, 3.11, 3.00, 0.50, 0.94, 55.15, 0.056, 0.77, 3
6, 2, 207, 84.24, 0.01, 80.34, 0.01, 4.93, 0.01, 4.34, 0.01, 95.67, 0.81, 1.14, 0.06, 0.47, 67.32, 0.069, 0.08, 0
7, 1, 220, 75.34, 0.01, 27.99, 0.02, 7.67, 0.03, 3.18, 0.01, 87.46, 0.13, 2.41, 0.41, 0.91, 76.49, 0.068, 0.09, 0
7, 2, 163, 13.05, 0.01, 67.89, 0.01, 3.88, 0.01, 3.58, 0.01, 124.80, 2.38, 1.08, 0.04, 0.39, 43.61, 0.078, 0.08, 0
7, 3, 400, 23.88, 0.14, 72.51, 0.01, 4.68, 0.19, 0.42, 0.02, 4.60, 0.41, 11.15, 0.84, 1.00, 6.16, 0.001, 0.68, 6
8, 1, 208, 45.89, 0.01, 33.65, 0.02, 7.08, 0.02, 3.57, 0.01, 93.15, 0.13, 1.98, 0.33, 0.86, 79.54, 0.061, 0.07, 0
8, 2, 212, 36.99, 0.01, 47.06, 0.02, 5.88, 0.02, 4.03, 0.02, 91.90, 0.46, 1.46, 0.19, 0.73, 74.46, 0.073, 0.13, 0
8, 3, 400, 48.19, 0.15, 42.98, 0.02, 5.05, 0.21, 0.42, 0.03, 4.47, 0.52, 11.93, 0.85, 1.00, 6.71, 0.000, 0.70, 6
8, 4, 208, 74.00, 0.01, 52.22, 0.02, 6.82, 0.02, 3.35, 0.01, 92.63, 0.16, 2.03, 0.34, 0.87, 71.89, 0.055, 0.08, 0
9, 1, 211, 42.88, 0.01, 35.76, 0.02, 7.15, 0.03, 3.65, 0.01, 93.69, 0.14, 1.96, 0.32, 0.86, 82.06, 0.062, 0.08, 0
9, 2, 225, 57.85, 0.01, 38.30, 0.02, 7.19, 0.02, 3.77, 0.01, 91.67, 0.15, 1.91, 0.31, 0.85, 85.16, 0.065, 0.08, 0
9, 3, 197, 78.06, 0.01, 53.90, 0.01, 6.26, 0.02, 3.86, 0.01, 91.51, 0.18, 1.62, 0.24, 0.79, 75.81, 0.088, 0.06, 0
9, 4, 286, 28.78, 0.04, 55.49, 0.06, 7.03, 0.08, 4.52, 0.04, 79.37, 0.88, 1.56, 0.22, 0.77, 99.77, 0.058, 4.19, 3
9, 5, 224, 92.49, 0.01, 66.84, 0.01, 6.37, 0.02, 3.92, 0.01, 91.91, 0.23, 1.63, 0.24, 0.79, 78.54, 0.074, 0.09, 0
10, 1, 210, 78.80, 0.01, 46.17, 0.01, 5.39, 0.01, 4.16, 0.01, 94.04, 0.33, 1.29, 0.13, 0.64, 70.53, 0.073, 0.06, 0
10, 2, 242, 75.20, 0.01, 61.49, 0.01, 7.32, 0.01, 4.17, 0.01, 91.53, 0.12, 1.76, 0.27, 0.82, 95.86, 0.052, 0.06, 0
10, 3, 400, 15.00, 0.13, 61.20, 0.03, 4.40, 0.17, 0.49, 0.03, 5.82, 0.72, 9.05, 0.80, 0.99, 6.71, 0.000, 0.76, 6
11, 1, 227, 79.40, 0.01, 15.88, 0.02, 6.69, 0.03, 3.69, 0.02, 91.18, 0.29, 1.81, 0.29, 0.83, 77.46, 0.070, 0.13, 0
11, 2, 260, 19.90, 0.05, 22.42, 0.12, 7.56, 0.17, 3.39, 0.06, 76.56, 0.87, 2.23, 0.38, 0.89, 80.54, 0.060, 43.63, 3
11, 3, 239, 73.94, 0.06, 27.07, 0.11, 6.92, 0.12, 3.48, 0.06, 72.09, 1.25, 1.99, 0.33, 0.86, 75.78, 0.044, 0.69, 6
11, 4, 224, 89.59, 0.01, 28.70, 0.01, 7.23, 0.02, 3.77, 0.01, 90.43, 0.14, 1.92, 0.32, 0.85, 85.57, 0.060, 0.08, 0
11, 5, 400, 52.45, 0.11, 21.67, 0.01, 4.56, 0.17, 0.43, 0.02, 4.77, 0.45, 10.61, 0.83, 1.00, 6.16, 0.000, 0.68, 6
11, 6, 244, 35.88, 0.01, 46.42, 0.02, 7.09, 0.02, 3.56, 0.01, 89.87, 0.16, 1.99, 0.33, 0.86, 79.29, 0.045, 0.10, 6
11, 7, 400, 61.81, 0.12, 71.06, 0.02, 4.37, 0.16, 0.47, 0.02, 5.26, 0.59, 9.39, 0.81, 0.99, 6.39, 0.000, 0.74, 6
11, 8, 219, 80.13, 0.01, 79.16, 0.01, 6.26, 0.01, 3.85, 0.01, 89.27, 0.18, 1.63, 0.24, 0.79, 75.74, 0.053, 0.07, 0
12, 1, 400, 29.29, 0.11, 24.19, 0.01, 4.56, 0.17, 0.43, 0.02, 4.77, 0.45, 10.61, 0.83, 1.00, 6.16, 0.000, 0.68, 6
12, 2, 245, 44.46, 0.01, 42.28, 0.02, 7.38, 0.02, 3.59, 0.01, 88.07, 0.12, 2.06, 0.35, 0.87, 83.29, 0.045, 0.09, 6
13, 1, 214, 90.74, 0.01, 12.87, 0.01, 6.47, 0.01, 3.50, 0.01, 91.03, 0.16, 1.85, 0.30, 0.84, 71.16, 0.064, 0.07, 0
13, 2, 192, 54.03, 0.00, 66.55, 0.01, 6.38, 0.01, 2.82, 0.01, 90.88, 0.11, 2.26, 0.39, 0.90, 56.58, 0.076, 0.05, 0
13, 3, 400, 74.92, 0.13, 70.83, 0.01, 4.68, 0.20, 0.42, 0.02, 4.57, 0.38, 11.18, 0.84, 1.00, 6.15, 0.000, 0.68, 6
13, 4, 400, 84.53, 0.12, 74.61, 0.02, 4.20, 0.18, 0.48, 0.02, 5.78, 0.52, 8.82, 0.80, 0.99, 6.30, 0.000, 0.74, 6
14, 1, 400, 46.16, 0.12, 34.34, 0.02, 4.29, 0.18, 0.48, 0.03, 5.73, 0.53, 8.95, 0.80, 0.99, 6.46, 0.000, 0.75, 6
14, 2, 193, 56.03, 0.02, 47.63, 0.06, 5.62, 0.08, 2.91, 0.02, 80.97, 0.70, 1.93, 0.32, 0.86, 51.44, 0.066, 0.28, 3
14, 3, 400, 67.80, 0.13, 47.33, 0.01, 4.76, 0.21, 0.42, 0.02, 4.47, 0.40, 11.46, 0.84, 1.00, 6.22, 0.000, 0.68, 6
14, 4, 200, 30.87, 0.01, 74.31, 0.01, 6.21, 0.02, 3.50, 0.01, 90.95, 0.19, 1.77, 0.28, 0.83, 68.25, 0.061, 0.08, 0
15, 1, 231, 31.98, 0.01, 36.59, 0.01, 6.97, 0.02, 3.20, 0.01, 92.29, 0.12, 2.18, 0.37, 0.89, 70.15, 0.053, 0.07, 0
15, 2, 181, 23.20, 0.01, 43.08, 0.01, 5.38, 0.01, 3.00, 0.01, 90.34, 0.19, 1.79, 0.28, 0.83, 50.75, 0.064, 0.06, 0
