Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 237, 91.34, 0.01, 46.26, 0.02, 7.63, 0.02, 3.31, 0.01, 94.24, 0.11, 2.31, 0.40, 0.90, 79.26, 0.059, 0.08, 0
0, 2, 222, 68.00, 0.01, 54.17, 0.02, 7.25, 0.03, 3.68, 0.01, 90.70, 0.17, 1.97, 0.33, 0.86, 83.87, 0.061, 0.10, 0
1, 1, 220, 32.33, 0.01, 51.79, 0.01, 7.60, 0.02, 3.69, 0.01, 90.65, 0.11, 2.06, 0.35, 0.87, 88.22, 0.062, 0.07, 0
3, 1, 400, 35.71, 0.13, 23.54, 0.02, 4.46, 0.16, 0.44, 0.02, 5.03, 0.48, 10.05, 0.82, 1.00, 6.22, 0.000, 0.70, 6
4, 1, 203, 84.51, 0.01, 52.51, 0.02, 6.75, 0.03, 3.20, 0.01, 90.73, 0.16, 2.11, 0.36, 0.88, 67.78, 0.061, 0.09, 0
4, 2, 217, 62.60, 0.01, 57.43, 0.02, 7.20, 0.03, 3.12, 0.01, 90.24, 0.14, 2.31, 0.40, 0.90, 70.53, 0.071, 0.09, 0
4, 3, 197, 16.14, 0.01, 80.31, 0.02, 6.35, 0.02, 3.35, 0.01, 93.13, 0.16, 1.89, 0.31, 0.85, 66.89, 0.058, 0.07, 0
5, 1, 238, 61.90, 0.01, 12.13, 0.05, 7.00, 0.07, 3.93, 0.02, 91.83, 0.41, 1.78, 0.28, 0.83, 86.37, 0.064, 0.22, 3
5, 2, 400, 10.92, 0.14, 38.88, 0.03, 4.40, 0.19, 0.49, 0.03, 5.61, 0.74, 9.03, 0.80, 0.99, 6.73, 0.000, 0.78, 6
5, 3, 206, 88.90, 0.01, 72.20, 0.02, 6.67, 0.03, 3.32, 0.01, 89.74, 0.18, 2.01, 0.33, 0.87, 69.70, 0.067, 0.09, 0
6, 1, 223, 90.39, 0.01, 22.11, 0.01, 6.83, 0.01, 3.42, 0.01, 87.64, 0.12, 2.00, 0.33, 0.87, 73.34, 0.067, 0.06, 0
7, 1, 400, 18.88, 0.13, 13.28, 0.01, 4.57, 0.19, 0.43, 0.02, 4.76, 0.39, 10.71, 0.83, 1.00, 6.14, 0.000, 0.68, 6
7, 2, 205, 78.23, 0.00, 23.42, 0.02, 7.01, 0.02, 3.01, 0.01, 89.97, 0.10, 2.33, 0.40, 0.90, 66.27, 0.049, 0.06, 6
8, 1, 400, 88.62, 0.14, 75.02, 0.02, 4.78, 0.21, 0.41, 0.02, 4.44, 0.36, 11.56, 0.84, 1.00, 6.22, 0.000, 0.68, 6
9, 1, 182, 73.05, 0.01, 27.44, 0.01, 5.72, 0.02, 3.02, 0.01, 89.62, 0.19, 1.89, 0.31, 0.85, 54.28, 0.066, 0.07, 0
9, 2, 400, 63.73, 0.13, 36.80, 0.02, 4.46, 0.17, 0.44, 0.02, 5.06, 0.49, 10.08, 0.82, 1.00, 6.20, 0.000, 0.70, 6
10, 1, 220, 46.20, 0.01, 30.30, 0.01, 6.79, 0.02, 4.05, 0.01, 91.63, 0.18, 1.68, 0.25, 0.80, 86.32, 0.054, 0.07, 0
10, 2, 400, 49.06, 0.13, 41.57, 0.03, 4.41, 0.17, 0.48, 0.03, 5.80, 0.63, 9.10, 0.80, 0.99, 6.70, 0.001, 0.76, 6
11, 1, 198, 78.09, 0.01, 20.69, 0.01, 6.65, 0.02, 3.23, 0.01, 88.46, 0.11, 2.06, 0.35, 0.87, 67.48, 0.075, 0.06, 0
11, 2, 400, 14.93, 0.12, 41.55, 0.02, 4.12, 0.17, 0.48, 0.02, 5.96, 0.55, 8.63, 0.79, 0.99, 6.20, 0.001, 0.72, 6
11, 3, 225, 66.28, 0.04, 56.50, 0.12, 7.53, 0.15, 3.36, 0.03, 76.11, 1.02, 2.24, 0.38, 0.89, 79.56, 0.073, 0.59, 3
11, 4, 195, 44.82, 0.01, 64.66, 0.01, 5.80, 0.02, 3.44, 0.01, 89.60, 0.22, 1.69, 0.26, 0.80, 62.80, 0.065, 0.08, 0
11, 5, 230, 59.75, 0.05, 66.29, 0.11, 7.36, 0.13, 3.43, 0.05, 75.20, 0.90, 2.14, 0.36, 0.88, 79.41, 0.062, 0.61, 3
11, 6, 400, 49.28, 0.12, 71.93, 0.02, 4.22, 0.20, 0.48, 0.03, 5.79, 0.59, 8.85, 0.80, 0.99, 6.32, 0.000, 0.74, 6
12, 1, 223, 31.57, 0.01, 35.31, 0.02, 7.45, 0.02, 3.31, 0.01, 88.68, 0.13, 2.25, 0.39, 0.90, 77.37, 0.069, 0.09, 0
12, 2, 225, 61.08, 0.00, 55.29, 0.01, 7.65, 0.02, 3.47, 0.01, 85.80, 0.11, 2.20, 0.38, 0.89, 83.53, 0.054, 0.07, 0
12, 3, 266, 84.31, 0.12, 58.31, 0.18, 6.27, 0.18, 3.32, 0.13, 70.87, 1.95, 1.89, 0.31, 0.85, 65.47, 0.035, 29.45, 6
12, 4, 225, 70.19, 0.01, 74.64, 0.02, 6.43, 0.02, 3.82, 0.01, 88.32, 0.31, 1.69, 0.26, 0.81, 77.12, 0.040, 0.12, 6
12, 5, 400, 59.32, 0.11, 69.97, 0.02, 3.90, 0.16, 0.52, 0.02, 6.57, 0.57, 7.56, 0.77, 0.99, 6.31, 0.001, 0.77, 6
