Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 196, 62.77, 0.01, 16.10, 0.02, 6.63, 0.02, 2.81, 0.01, 90.12, 0.14, 2.36, 0.40, 0.91, 58.48, 0.074, 0.08, 0
0, 2, 203, 38.90, 0.01, 31.16, 0.03, 6.41, 0.03, 3.34, 0.01, 89.02, 0.24, 1.92, 0.31, 0.85, 67.36, 0.091, 0.11, 0
0, 3, 235, 50.70, 0.06, 40.03, 0.24, 6.21, 0.31, 2.39, 0.07, 76.46, 1.55, 2.60, 0.44, 0.92, 46.73, 0.037, 0.82, 6
0, 4, 165, 76.67, 0.01, 65.43, 0.02, 4.83, 0.02, 3.22, 0.01, 90.19, 0.39, 1.50, 0.20, 0.75, 48.79, 0.065, 0.09, 0
0, 5, 181, 49.44, 0.01, 69.40, 0.02, 6.04, 0.04, 2.91, 0.01, 90.13, 0.22, 2.08, 0.35, 0.88, 55.14, 0.061, 0.10, 0
1, 1, 400, 34.77, 0.08, 6.02, 0.02, 3.23, 0.13, 0.62, 0.03, 9.77, 0.88, 5.23, 0.68, 0.98, 6.27, 0.000, 0.86, 6
1, 2, 203, 36.51, 0.06, 13.55, 0.21, 5.58, 0.26, 2.36, 0.05, 76.21, 1.51, 2.37, 0.41, 0.91, 41.28, 0.033, 0.57, 6
1, 3, 400, 23.90, 0.16, 79.41, 0.01, 6.03, 0.21, 0.33, 0.02, 2.81, 0.29, 18.42, 0.90, 1.00, 6.21, 0.000, 0.65, 6
2, 1, 400, 9.89, 0.15, 22.44, 0.02, 5.13, 0.20, 0.38, 0.02, 3.81, 0.39, 13.33, 0.86, 1.00, 6.20, 0.000, 0.66, 6
2, 2, 400, 27.10, 0.14, 25.99, 0.02, 5.05, 0.20, 0.40, 0.02, 3.97, 0.43, 12.63, 0.85, 1.00, 6.35, 0.000, 0.68, 6
2, 3, 400, 87.85, 0.14, 49.15, 0.02, 5.05, 0.20, 0.40, 0.02, 3.97, 0.43, 12.63, 0.85, 1.00, 6.35, 0.000, 0.68, 6
2, 4, 400, 20.78, 0.14, 50.93, 0.01, 5.53, 0.22, 0.35, 0.02, 3.31, 0.28, 15.67, 0.88, 1.00, 6.13, 0.000, 0.64, 6
2, 5, 400, 73.00, 0.12, 58.17, 0.02, 4.27, 0.17, 0.48, 0.03, 5.75, 0.61, 8.87, 0.80, 0.99, 6.47, 0.000, 0.75, 6
2, 6, 400, 81.87, 0.18, 76.88, 0.01, 6.15, 0.22, 0.32, 0.02, 2.69, 0.27, 19.39, 0.90, 1.00, 6.12, 0.000, 0.62, 6
3, 1, 400, 59.14, 0.14, 5.18, 0.02, 5.05, 0.18, 0.40, 0.02, 3.98, 0.46, 12.59, 0.85, 1.00, 6.36, 0.001, 0.68, 6
3, 2, 189, 20.43, 0.01, 31.62, 0.02, 6.03, 0.03, 2.70, 0.01, 89.83, 0.17, 2.24, 0.38, 0.89, 51.09, 0.078, 0.09, 0
3, 3, 400, 44.27, 0.09, 33.28, 0.02, 3.06, 0.13, 0.65, 0.03, 11.18, 1.05, 4.69, 0.65, 0.98, 6.28, 0.000, 0.89, 6
3, 4, 400, 40.93, 0.12, 34.17, 0.02, 4.11, 0.16, 0.48, 0.02, 5.94, 0.49, 8.58, 0.79, 0.99, 6.19, 0.000, 0.72, 6
3, 5, 400, 68.45, 0.15, 65.03, 0.02, 5.69, 0.20, 0.36, 0.02, 3.26, 0.32, 15.97, 0.88, 1.00, 6.36, 0.000, 0.66, 6
3, 6, 400, 6.21, 0.14, 65.29, 0.02, 4.77, 0.20, 0.42, 0.02, 4.46, 0.39, 11.45, 0.84, 1.00, 6.23, 0.000, 0.68, 6
3, 7, 400, 43.73, 0.11, 74.45, 0.02, 4.19, 0.17, 0.48, 0.02, 5.80, 0.53, 8.78, 0.80, 0.99, 6.28, 0.000, 0.74, 6
4, 1, 400, 80.97, 0.13, 2.71, 0.01, 4.58, 0.17, 0.43, 0.02, 4.80, 0.45, 10.70, 0.83, 1.00, 6.16, 0.001, 0.68, 6
4, 2, 202, 68.48, 0.03, 48.28, 0.04, 6.19, 0.06, 3.30, 0.03, 86.14, 0.79, 1.87, 0.30, 0.85, 64.28, 0.065, 0.22, 3
4, 3, 400, 93.22, 0.13, 69.00, 0.01, 4.58, 0.17, 0.43, 0.02, 4.80, 0.45, 10.70, 0.83, 1.00, 6.16, 0.000, 0.68, 6
4, 4, 400, 34.26, 0.13, 69.56, 0.02, 4.38, 0.17, 0.47, 0.02, 5.35, 0.58, 9.39, 0.81, 0.99, 6.41, 0.001, 0.74, 6
4, 5, 400, 55.92, 0.21, 69.59, 0.01, 7.36, 0.26, 0.27, 0.01, 1.93, 0.23, 27.30, 0.93, 1.00, 6.24, 0.000, 0.69, 6
5, 1, 140, 75.46, 0.02, 20.07, 0.05, 3.91, 0.05, 2.92, 0.04, 82.74, 2.68, 1.34, 0.15, 0.67, 35.81, 0.053, 0.23, 3
5, 2, 400, 93.47, 0.13, 17.56, 0.02, 4.29, 0.19, 0.48, 0.03, 5.74, 0.60, 8.91, 0.80, 0.99, 6.50, 0.001, 0.75, 6
5, 3, 336, 89.60, 0.12, 38.47, 0.18, 7.31, 0.32, 3.63, 0.10, 60.19, 1.96, 2.01, 0.34, 0.87, 83.47, 0.033, 5.59, 6
