Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 71.57, 0.12, 13.79, 0.03, 3.91, 0.19, 0.54, 0.03, 6.91, 0.77, 7.23, 0.76, 0.99, 6.65, 0.001, 0.83, 6
0, 2, 400, 30.62, 0.12, 15.47, 0.03, 3.91, 0.19, 0.54, 0.03, 6.91, 0.77, 7.23, 0.76, 0.99, 6.65, 0.000, 0.83, 6
0, 3, 233, 55.01, 0.01, 32.09, 0.02, 7.41, 0.03, 3.43, 0.01, 85.84, 0.16, 2.16, 0.37, 0.89, 79.88, 0.062, 0.11, 0
0, 4, 226, 83.88, 0.01, 36.47, 0.01, 7.00, 0.02, 3.44, 0.01, 87.86, 0.13, 2.03, 0.34, 0.87, 75.71, 0.054, 0.08, 0
0, 5, 400, 83.79, 0.17, 45.33, 0.02, 5.06, 0.19, 0.42, 0.03, 4.44, 0.54, 11.96, 0.85, 1.00, 6.73, 0.000, 0.70, 6
0, 6, 181, 53.71, 0.01, 54.51, 0.02, 6.08, 0.03, 2.73, 0.01, 92.54, 0.19, 2.23, 0.38, 0.89, 52.18, 0.080, 0.08, 0
0, 7, 400, 44.86, 0.10, 48.26, 0.03, 3.50, 0.15, 0.58, 0.03, 8.40, 0.91, 6.01, 0.71, 0.99, 6.41, 0.000, 0.84, 6
0, 8, 400, 56.42, 0.15, 72.10, 0.03, 4.41, 0.18, 0.48, 0.03, 5.52, 0.65, 9.11, 0.80, 0.99, 6.70, 0.000, 0.78, 6
0, 9, 400, 79.13, 0.12, 73.52, 0.02, 4.84, 0.20, 0.42, 0.02, 4.38, 0.38, 11.59, 0.84, 1.00, 6.35, 0.000, 0.69, 6
1, 1, 182, 30.00, 0.01, 7.77, 0.03, 4.80, 0.04, 3.53, 0.02, 83.57, 0.78, 1.36, 0.15, 0.68, 53.28, 0.058, 0.14, 0
1, 2, 400, 62.67, 0.14, 3.63, 0.03, 4.40, 0.18, 0.48, 0.03, 5.75, 0.62, 9.13, 0.80, 0.99, 6.67, 0.000, 0.76, 6
1, 3, 226, 90.95, 0.01, 22.35, 0.01, 6.71, 0.01, 3.46, 0.01, 88.55, 0.13, 1.94, 0.32, 0.86, 72.96, 0.057, 0.07, 0
1, 4, 400, 77.20, 0.12, 25.11, 0.02, 4.12, 0.19, 0.48, 0.02, 5.97, 0.52, 8.57, 0.79, 0.99, 6.22, 0.000, 0.73, 6
1, 5, 221, 67.81, 0.01, 44.04, 0.03, 7.10, 0.04, 3.36, 0.01, 88.41, 0.23, 2.11, 0.36, 0.88, 74.96, 0.082, 0.13, 0
1, 6, 157, 47.29, 0.01, 45.74, 0.01, 4.93, 0.01, 2.50, 0.01, 88.78, 0.17, 1.97, 0.33, 0.86, 38.71, 0.086, 0.05, 0
1, 7, 400, 35.94, 0.11, 60.71, 0.02, 4.01, 0.17, 0.49, 0.02, 6.28, 0.53, 8.14, 0.78, 0.99, 6.21, 0.000, 0.74, 6
1, 8, 196, 54.93, 0.01, 70.49, 0.02, 6.24, 0.02, 3.37, 0.01, 88.77, 0.21, 1.85, 0.30, 0.84, 66.11, 0.052, 0.08, 0
1, 9, 400, 78.14, 0.16, 64.37, 0.02, 5.90, 0.20, 0.36, 0.02, 3.31, 0.36, 16.24, 0.88, 1.00, 6.73, 0.000, 0.66, 6
2, 1, 400, 13.34, 0.19, 0.74, 0.02, 5.95, 0.23, 0.35, 0.02, 2.99, 0.33, 17.01, 0.89, 1.00, 6.54, 0.000, 0.68, 6
2, 2, 195, 89.43, 0.01, 13.51, 0.02, 5.73, 0.02, 3.11, 0.01, 89.17, 0.25, 1.85, 0.30, 0.84, 55.93, 0.054, 0.09, 0
2, 3, 231, 90.59, 0.03, 35.20, 0.17, 9.04, 0.23, 3.21, 0.02, 80.22, 0.57, 2.81, 0.48, 0.93, 91.28, 0.093, 0.35, 3
2, 4, 273, 66.13, 0.03, 43.02, 0.11, 10.05, 0.14, 3.12, 0.04, 91.96, 0.32, 3.22, 0.53, 0.95, 98.52, 0.077, 6.00, 3
2, 5, 228, 84.32, 0.04, 43.67, 0.13, 7.97, 0.21, 2.99, 0.04, 79.10, 0.55, 2.66, 0.45, 0.93, 75.01, 0.091, 0.48, 3
2, 6, 284, 40.91, 0.02, 57.44, 0.05, 9.29, 0.07, 3.66, 0.03, 78.21, 0.31, 2.54, 0.44, 0.92, 106.68, 0.046, 2.89, 6
2, 7, 400, 79.76, 0.12, 54.45, 0.02, 4.37, 0.16, 0.46, 0.02, 5.26, 0.56, 9.44, 0.81, 0.99, 6.37, 0.000, 0.73, 6
2, 8, 400, 58.65, 0.11, 70.98, 0.02, 3.90, 0.15, 0.52, 0.02, 6.70, 0.67, 7.56, 0.77, 0.99, 6.32, 0.000, 0.77, 6
3, 1, 242, 61.08, 0.01, 9.79, 0.02, 7.87, 0.03, 3.78, 0.01, 93.72, 0.20, 2.08, 0.35, 0.88, 93.50, 0.056, 0.11, 0
3, 2, 133, 75.03, 0.01, 9.86, 0.02, 4.13, 0.02, 2.70, 0.01, 93.60, 0.48, 1.53, 0.21, 0.76, 35.04, 0.083, 0.08, 0
3, 3, 400, 83.96, 0.13, 12.09, 0.01, 4.69, 0.19, 0.42, 0.02, 4.57, 0.39, 11.25, 0.84, 1.00, 6.15, 0.000, 0.67, 6
