Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 15.71, 0.22, 12.18, 0.03, 6.10, 0.24, 0.36, 0.03, 3.23, 0.41, 16.87, 0.89, 1.00, 6.93, 0.000, 0.66, 6
0, 2, 400, 19.98, 0.12, 28.63, 0.02, 4.29, 0.17, 0.48, 0.03, 5.76, 0.63, 8.94, 0.80, 0.99, 6.47, 0.000, 0.75, 6
0, 3, 174, 78.10, 0.01, 36.14, 0.02, 5.87, 0.02, 3.08, 0.01, 90.33, 0.21, 1.91, 0.31, 0.85, 56.68, 0.079, 0.07, 0
0, 4, 227, 84.41, 0.06, 38.16, 0.11, 4.83, 0.12, 3.07, 0.08, 67.67, 3.43, 1.57, 0.22, 0.77, 46.63, 0.046, 0.76, 6
0, 5, 400, 43.03, 0.14, 59.92, 0.01, 4.69, 0.19, 0.42, 0.02, 4.57, 0.39, 11.21, 0.84, 1.00, 6.16, 0.001, 0.67, 6
0, 6, 400, 58.30, 0.14, 78.82, 0.03, 4.41, 0.18, 0.48, 0.03, 5.76, 0.78, 9.14, 0.80, 0.99, 6.69, 0.001, 0.75, 6
1, 1, 168, 66.16, 0.01, 24.26, 0.02, 5.48, 0.02, 2.86, 0.01, 88.09, 0.21, 1.91, 0.31, 0.85, 49.27, 0.065, 0.08, 0
1, 2, 182, 42.25, 0.01, 36.88, 0.01, 4.75, 0.01, 3.77, 0.01, 91.04, 0.39, 1.26, 0.12, 0.61, 56.28, 0.076, 0.06, 0
1, 3, 400, 51.33, 0.14, 52.71, 0.02, 4.94, 0.19, 0.42, 0.03, 4.48, 0.54, 11.72, 0.84, 1.00, 6.55, 0.001, 0.70, 6
2, 1, 339, 92.79, 0.08, 11.01, 0.10, 5.92, 0.13, 3.45, 0.10, 62.45, 1.98, 1.71, 0.26, 0.81, 64.25, 0.037, 4.47, 6
2, 2, 400, 54.78, 0.19, 40.78, 0.01, 6.36, 0.24, 0.30, 0.01, 2.53, 0.22, 21.00, 0.91, 1.00, 6.04, 0.000, 0.61, 6
2, 3, 400, 32.24, 0.15, 45.08, 0.03, 4.43, 0.20, 0.48, 0.03, 5.55, 0.68, 9.18, 0.80, 0.99, 6.71, 0.001, 0.77, 6
2, 4, 400, 64.62, 0.16, 65.20, 0.01, 5.57, 0.22, 0.35, 0.02, 3.31, 0.32, 15.78, 0.88, 1.00, 6.18, 0.000, 0.63, 6
3, 1, 187, 95.63, 0.01, 39.31, 0.02, 6.13, 0.03, 3.09, 0.01, 87.33, 0.23, 1.98, 0.33, 0.86, 59.49, 0.064, 0.09, 0
3, 2, 400, 27.72, 0.12, 40.35, 0.02, 4.38, 0.18, 0.46, 0.03, 5.26, 0.56, 9.47, 0.81, 0.99, 6.38, 0.001, 0.73, 6
3, 3, 400, 80.04, 0.14, 61.43, 0.02, 4.77, 0.20, 0.42, 0.02, 4.47, 0.40, 11.48, 0.84, 1.00, 6.22, 0.000, 0.68, 6
4, 1, 159, 80.68, 0.01, 22.01, 0.02, 4.54, 0.02, 3.16, 0.01, 90.18, 0.54, 1.44, 0.18, 0.72, 45.06, 0.067, 0.08, 0
4, 2, 400, 41.80, 0.16, 30.12, 0.02, 5.72, 0.21, 0.36, 0.02, 3.26, 0.33, 16.10, 0.88, 1.00, 6.39, 0.000, 0.66, 6
4, 3, 170, 65.72, 0.01, 58.93, 0.02, 4.97, 0.02, 3.30, 0.01, 84.10, 0.39, 1.50, 0.20, 0.75, 51.52, 0.065, 0.09, 0
4, 4, 400, 42.87, 0.14, 66.47, 0.02, 4.85, 0.20, 0.42, 0.02, 4.43, 0.43, 11.62, 0.84, 1.00, 6.36, 0.001, 0.69, 6
4, 5, 400, 27.61, 0.12, 70.68, 0.01, 4.56, 0.17, 0.43, 0.02, 4.76, 0.41, 10.68, 0.83, 1.00, 6.13, 0.001, 0.68, 6
5, 1, 400, 81.00, 0.14, 19.85, 0.02, 4.46, 0.15, 0.45, 0.02, 5.06, 0.47, 10.00, 0.82, 0.99, 6.24, 0.001, 0.70, 6
5, 2, 179, 38.92, 0.01, 42.27, 0.01, 5.43, 0.01, 3.21, 0.01, 88.78, 0.16, 1.69, 0.26, 0.81, 54.89, 0.075, 0.05, 0
5, 3, 400, 42.23, 0.15, 63.21, 0.01, 5.23, 0.18, 0.37, 0.02, 3.67, 0.32, 13.95, 0.87, 1.00, 6.15, 0.001, 0.64, 6
5, 4, 400, 93.03, 0.16, 81.73, 0.02, 5.03, 0.20, 0.42, 0.02, 4.14, 0.50, 12.01, 0.85, 1.00, 6.61, 0.001, 0.72, 6
6, 1, 400, 32.70, 0.15, 38.95, 0.02, 4.93, 0.19, 0.42, 0.02, 4.47, 0.46, 11.68, 0.84, 1.00, 6.52, 0.001, 0.71, 6
6, 2, 400, 91.50, 0.15, 52.78, 0.02, 5.78, 0.21, 0.36, 0.02, 3.28, 0.32, 16.11, 0.88, 1.00, 6.52, 0.001, 0.66, 6
7, 1, 177, 75.45, 0.01, 12.46, 0.02, 6.27, 0.02, 2.80, 0.01, 89.17, 0.17, 2.24, 0.38, 0.89, 55.19, 0.070, 0.07, 0
7, 2, 400, 83.09, 0.15, 28.21, 0.02, 5.04, 0.19, 0.43, 0.03, 4.50, 0.54, 11.81, 0.84, 1.00, 6.76, 0.000, 0.71, 6
7, 3, 188, 31.58, 0.01, 44.75, 0.01, 6.35, 0.02, 2.85, 0.01, 88.74, 0.13, 2.23, 0.38, 0.89, 56.92, 0.058, 0.06, 0
7, 4, 400, 95.10, 0.16, 57.08, 0.03, 5.12, 0.21, 0.43, 0.03, 4.43, 0.57, 12.00, 0.85, 1.00, 6.86, 0.001, 0.72, 6
7, 5, 400, 20.38, 0.15, 64.70, 0.01, 5.32, 0.23, 0.37, 0.02, 3.55, 0.29, 14.58, 0.87, 1.00, 6.11, 0.001, 0.64, 6
7, 6, 400, 30.80, 0.13, 65.29, 0.02, 4.84, 0.19, 0.42, 0.02, 4.43, 0.40, 11.53, 0.84, 1.00, 6.37, 0.000, 0.70, 6
8, 1, 169, 64.04, 0.01, 20.89, 0.02, 5.42, 0.02, 3.12, 0.01, 90.43, 0.22, 1.74, 0.27, 0.82, 53.22, 0.069, 0.07, 0
8, 2, 400, 15.56, 0.18, 23.35, 0.03, 5.13, 0.22, 0.42, 0.03, 4.38, 0.58, 12.13, 0.85, 1.00, 6.82, 0.000, 0.71, 6
8, 3, 175, 49.67, 0.01, 42.64, 0.02, 5.65, 0.02, 3.00, 0.01, 89.11, 0.18, 1.88, 0.31, 0.85, 53.17, 0.058, 0.06, 0
8, 4, 400, 8.44, 0.16, 41.62, 0.02, 5.05, 0.21, 0.42, 0.02, 4.14, 0.54, 12.15, 0.85, 1.00, 6.60, 0.000, 0.71, 6
8, 5, 400, 7.15, 0.16, 61.35, 0.02, 5.92, 0.22, 0.36, 0.02, 3.27, 0.38, 16.51, 0.89, 1.00, 6.67, 0.000, 0.65, 6
9, 1, 244, 69.28, 0.03, 50.03, 0.10, 6.23, 0.11, 2.86, 0.05, 80.24, 0.84, 2.18, 0.37, 0.89, 55.92, 0.040, 0.55, 6
9, 2, 400, 40.55, 0.18, 50.24, 0.02, 5.96, 0.24, 0.35, 0.02, 2.96, 0.35, 17.14, 0.89, 1.00, 6.50, 0.000, 0.68, 6
9, 3, 190, 81.52, 0.01, 79.15, 0.01, 5.86, 0.02, 3.31, 0.01, 88.16, 0.18, 1.77, 0.28, 0.83, 60.84, 0.067, 0.07, 0
10, 1, 400, 17.18, 0.14, 2.83, 0.02, 5.04, 0.17, 0.40, 0.02, 4.01, 0.46, 12.57, 0.85, 1.00, 6.35, 0.000, 0.69, 6
10, 2, 167, 23.22, 0.01, 24.84, 0.01, 4.68, 0.01, 3.06, 0.01, 82.94, 0.27, 1.53, 0.21, 0.76, 44.94, 0.061, 0.06, 0
10, 3, 400, 44.00, 0.12, 40.35, 0.02, 4.38, 0.18, 0.46, 0.02, 5.31, 0.57, 9.43, 0.81, 0.99, 6.39, 0.001, 0.73, 6
10, 4, 400, 93.71, 0.14, 66.94, 0.02, 5.04, 0.17, 0.40, 0.02, 4.01, 0.46, 12.57, 0.85, 1.00, 6.35, 0.000, 0.69, 6
11, 1, 400, 52.59, 0.13, 20.99, 0.01, 4.69, 0.20, 0.42, 0.02, 4.57, 0.38, 11.20, 0.84, 1.00, 6.18, 0.000, 0.67, 6
11, 2, 174, 61.69, 0.01, 27.49, 0.01, 5.60, 0.02, 3.29, 0.01, 87.63, 0.20, 1.70, 0.26, 0.81, 57.90, 0.063, 0.06, 0
11, 3, 400, 51.34, 0.11, 22.03, 0.02, 3.60, 0.14, 0.55, 0.02, 7.85, 0.70, 6.53, 0.73, 0.99, 6.23, 0.000, 0.79, 6
