Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 208, 30.95, 0.01, 11.90, 0.03, 6.23, 0.04, 3.08, 0.01, 86.22, 0.24, 2.02, 0.34, 0.87, 60.27, 0.052, 0.13, 0
0, 2, 400, 63.88, 0.16, 50.93, 0.01, 5.61, 0.23, 0.36, 0.02, 3.29, 0.30, 15.80, 0.88, 1.00, 6.27, 0.000, 0.66, 6
0, 3, 184, 82.42, 0.06, 60.16, 0.14, 6.03, 0.15, 3.06, 0.05, 71.13, 1.81, 1.97, 0.33, 0.86, 57.99, 0.072, 0.63, 3
0, 4, 254, 76.85, 0.09, 67.99, 0.22, 8.13, 0.23, 2.72, 0.09, 82.84, 1.32, 2.99, 0.50, 0.94, 69.48, 0.060, 0.72, 3
0, 5, 257, 72.46, 0.08, 73.37, 0.21, 6.00, 0.18, 3.32, 0.10, 78.13, 4.40, 1.80, 0.29, 0.83, 62.62, 0.038, 259.44, 6
0, 6, 204, 29.52, 0.01, 77.72, 0.02, 6.51, 0.02, 3.02, 0.01, 97.85, 0.15, 2.15, 0.37, 0.89, 61.75, 0.057, 0.08, 0
1, 1, 400, 14.99, 0.13, 59.42, 0.01, 4.68, 0.20, 0.42, 0.02, 4.59, 0.39, 11.18, 0.84, 1.00, 6.15, 0.000, 0.67, 6
2, 1, 227, 18.84, 0.01, 11.87, 0.02, 7.36, 0.02, 3.23, 0.01, 89.00, 0.12, 2.28, 0.39, 0.90, 74.60, 0.058, 0.08, 0
2, 2, 180, 86.57, 0.01, 41.62, 0.01, 5.10, 0.02, 3.10, 0.01, 94.68, 0.27, 1.64, 0.24, 0.79, 49.66, 0.064, 0.08, 0
2, 3, 400, 27.80, 0.17, 53.26, 0.02, 5.93, 0.23, 0.35, 0.02, 2.95, 0.36, 17.06, 0.89, 1.00, 6.48, 0.000, 0.68, 6
2, 4, 194, 42.35, 0.01, 62.59, 0.02, 6.84, 0.03, 3.34, 0.01, 90.87, 0.14, 2.05, 0.34, 0.87, 71.68, 0.060, 0.07, 0
2, 5, 206, 86.22, 0.01, 66.75, 0.02, 7.08, 0.02, 3.30, 0.01, 89.59, 0.14, 2.14, 0.36, 0.88, 73.36, 0.061, 0.08, 0
2, 6, 400, 27.37, 0.26, 75.72, 0.20, 6.48, 0.65, 5.01, 0.18, 43.78, 15.63, 1.29, 0.13, 0.63, 102.00, 0.033, 5.87, 6
2, 7, 195, 40.99, 0.01, 79.11, 0.01, 5.91, 0.02, 3.15, 0.01, 97.80, 0.17, 1.88, 0.31, 0.85, 58.44, 0.063, 0.06, 0
3, 1, 400, 19.40, 0.12, 3.29, 0.02, 4.21, 0.19, 0.48, 0.02, 5.77, 0.56, 8.83, 0.80, 0.99, 6.31, 0.000, 0.74, 6
3, 2, 210, 85.60, 0.01, 27.76, 0.02, 6.54, 0.02, 3.13, 0.01, 87.50, 0.14, 2.09, 0.35, 0.88, 64.34, 0.052, 0.08, 0
3, 3, 317, 42.48, 0.08, 47.12, 0.15, 6.43, 0.24, 2.89, 0.09, 69.80, 1.71, 2.22, 0.38, 0.89, 58.36, 0.034, 5.46, 6
3, 4, 400, 87.19, 0.13, 49.03, 0.01, 4.58, 0.18, 0.43, 0.02, 4.78, 0.41, 10.72, 0.83, 1.00, 6.14, 0.001, 0.68, 6
3, 5, 400, 86.29, 0.11, 50.80, 0.02, 4.01, 0.17, 0.49, 0.02, 6.19, 0.53, 8.18, 0.78, 0.99, 6.18, 0.001, 0.73, 6
