Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 133, 31.59, 0.01, 18.64, 0.01, 3.81, 0.01, 2.51, 0.01, 89.35, 0.32, 1.51, 0.20, 0.75, 30.04, 0.040, 0.06, 6
0, 2, 179, 64.66, 0.06, 38.09, 0.19, 6.40, 0.17, 2.66, 0.05, 89.76, 0.85, 2.41, 0.41, 0.91, 53.39, 0.073, 0.40, 3
0, 3, 179, 48.27, 0.01, 42.81, 0.02, 6.12, 0.03, 2.76, 0.01, 89.53, 0.16, 2.22, 0.38, 0.89, 52.97, 0.078, 0.07, 0
0, 4, 173, 67.33, 0.01, 48.36, 0.01, 5.19, 0.01, 2.77, 0.01, 89.95, 0.17, 1.87, 0.30, 0.85, 45.20, 0.076, 0.05, 0
0, 5, 400, 60.95, 0.15, 56.24, 0.02, 5.05, 0.18, 0.42, 0.03, 4.48, 0.54, 11.89, 0.84, 1.00, 6.73, 0.000, 0.71, 6
0, 6, 400, 58.64, 0.14, 67.75, 0.03, 4.40, 0.18, 0.48, 0.03, 5.79, 0.68, 9.08, 0.80, 0.99, 6.69, 0.001, 0.76, 6
1, 1, 178, 14.43, 0.00, 21.45, 0.01, 5.62, 0.02, 2.86, 0.01, 89.91, 0.15, 1.97, 0.33, 0.86, 50.42, 0.072, 0.05, 0
1, 2, 156, 22.94, 0.01, 29.18, 0.01, 4.54, 0.01, 2.80, 0.01, 90.18, 0.22, 1.62, 0.24, 0.79, 39.90, 0.081, 0.06, 0
1, 3, 400, 6.33, 0.12, 45.25, 0.02, 4.21, 0.19, 0.48, 0.02, 5.81, 0.51, 8.79, 0.80, 0.99, 6.34, 0.000, 0.74, 6
1, 4, 400, 75.78, 0.13, 63.46, 0.01, 4.59, 0.19, 0.43, 0.02, 4.79, 0.41, 10.72, 0.83, 1.00, 6.16, 0.000, 0.68, 6
1, 5, 117, 34.98, 0.01, 75.79, 0.01, 2.98, 0.01, 2.39, 0.01, 94.25, 1.05, 1.25, 0.11, 0.60, 22.35, 0.042, 0.07, 6
2, 1, 154, 45.59, 0.01, 21.99, 0.01, 4.98, 0.02, 2.73, 0.01, 89.63, 0.21, 1.82, 0.29, 0.84, 42.74, 0.072, 0.06, 0
2, 2, 174, 74.34, 0.02, 36.04, 0.08, 5.33, 0.08, 2.42, 0.03, 86.71, 0.85, 2.21, 0.38, 0.89, 40.49, 0.048, 0.32, 6
2, 3, 400, 40.67, 0.13, 77.74, 0.03, 3.91, 0.19, 0.54, 0.03, 6.98, 0.86, 7.25, 0.76, 0.99, 6.64, 0.001, 0.82, 6
3, 1, 400, 9.76, 0.12, 26.79, 0.02, 4.30, 0.17, 0.48, 0.03, 5.78, 0.63, 8.95, 0.80, 0.99, 6.50, 0.000, 0.75, 6
3, 2, 161, 57.79, 0.02, 37.85, 0.06, 4.61, 0.07, 2.47, 0.02, 86.52, 1.05, 1.87, 0.30, 0.84, 35.71, 0.055, 0.28, 3
3, 3, 400, 70.07, 0.10, 56.54, 0.02, 3.90, 0.15, 0.51, 0.02, 6.66, 0.65, 7.59, 0.77, 0.99, 6.31, 0.001, 0.77, 6
3, 4, 400, 10.63, 0.12, 76.05, 0.02, 3.79, 0.16, 0.54, 0.03, 7.26, 0.67, 7.06, 0.75, 0.99, 6.40, 0.001, 0.80, 6
4, 1, 122, 47.40, 0.01, 10.17, 0.01, 3.64, 0.01, 2.11, 0.01, 89.69, 0.33, 1.73, 0.27, 0.82, 24.15, 0.040, 0.05, 6
4, 2, 165, 41.53, 0.01, 15.49, 0.02, 5.32, 0.02, 2.35, 0.01, 90.99, 0.16, 2.27, 0.39, 0.90, 39.22, 0.073, 0.07, 0
4, 3, 249, 68.72, 0.06, 27.02, 0.11, 5.65, 0.13, 2.98, 0.08, 75.58, 2.12, 1.90, 0.31, 0.85, 52.81, 0.031, 0.89, 6
4, 4, 400, 61.13, 0.12, 36.66, 0.02, 4.38, 0.18, 0.46, 0.03, 5.29, 0.57, 9.44, 0.81, 0.99, 6.38, 0.001, 0.73, 6
4, 5, 400, 15.22, 0.12, 52.40, 0.03, 3.88, 0.17, 0.54, 0.03, 7.32, 0.81, 7.13, 0.75, 0.99, 6.62, 0.001, 0.82, 6
4, 6, 400, 15.37, 0.12, 64.38, 0.02, 4.19, 0.18, 0.48, 0.03, 5.77, 0.55, 8.75, 0.79, 0.99, 6.31, 0.001, 0.74, 6
4, 7, 165, 60.86, 0.01, 85.06, 0.01, 4.59, 0.01, 2.99, 0.01, 90.48, 0.28, 1.54, 0.21, 0.76, 43.11, 0.070, 0.06, 0
5, 1, 145, 90.59, 0.01, 53.67, 0.01, 4.23, 0.01, 2.70, 0.01, 92.80, 0.28, 1.57, 0.22, 0.77, 35.93, 0.078, 0.05, 0
5, 2, 222, 59.07, 0.08, 60.92, 0.26, 6.89, 0.27, 2.58, 0.05, 80.12, 1.28, 2.67, 0.46, 0.93, 55.75, 0.038, 0.54, 6
5, 3, 400, 15.63, 0.13, 62.72, 0.02, 4.00, 0.16, 0.49, 0.02, 6.21, 0.59, 8.10, 0.78, 0.99, 6.21, 0.000, 0.74, 6
5, 4, 400, 49.34, 0.10, 73.63, 0.02, 3.34, 0.16, 0.60, 0.03, 9.10, 0.88, 5.61, 0.70, 0.98, 6.26, 0.001, 0.83, 6
5, 5, 162, 89.34, 0.01, 82.01, 0.01, 5.36, 0.02, 2.54, 0.01, 91.78, 0.16, 2.11, 0.36, 0.88, 42.88, 0.070, 0.07, 0
6, 1, 158, 53.64, 0.01, 15.30, 0.01, 4.23, 0.01, 2.99, 0.01, 93.04, 0.31, 1.41, 0.17, 0.71, 39.74, 0.081, 0.05, 0
6, 2, 170, 74.18, 0.00, 46.97, 0.02, 5.70, 0.02, 2.36, 0.01, 90.65, 0.14, 2.41, 0.41, 0.91, 42.30, 0.071, 0.06, 0
6, 3, 116, 48.95, 0.01, 44.43, 0.01, 3.31, 0.01, 2.71, 0.01, 93.03, 0.94, 1.22, 0.10, 0.57, 28.26, 0.034, 0.06, 6
6, 4, 179, 91.31, 0.00, 47.99, 0.02, 6.21, 0.02, 2.85, 0.01, 90.18, 0.13, 2.18, 0.37, 0.89, 55.56, 0.071, 0.06, 0
6, 5, 400, 11.74, 0.11, 46.11, 0.03, 3.53, 0.15, 0.60, 0.03, 8.86, 1.01, 5.88, 0.71, 0.99, 6.65, 0.001, 0.87, 6
7, 1, 160, 69.35, 0.01, 11.09, 0.01, 5.07, 0.01, 2.37, 0.01, 90.00, 0.17, 2.14, 0.36, 0.88, 37.78, 0.073, 0.05, 0
7, 2, 179, 82.61, 0.01, 16.72, 0.01, 5.73, 0.02, 2.84, 0.01, 88.53, 0.15, 2.02, 0.34, 0.87, 51.07, 0.072, 0.06, 0
7, 3, 400, 78.57, 0.15, 28.04, 0.02, 5.05, 0.20, 0.42, 0.02, 4.41, 0.46, 11.96, 0.85, 1.00, 6.70, 0.000, 0.70, 6
7, 4, 400, 96.71, 0.10, 59.27, 0.02, 3.79, 0.18, 0.53, 0.03, 7.25, 0.70, 7.08, 0.75, 0.99, 6.37, 0.001, 0.79, 6
8, 1, 400, 45.37, 0.13, 0.62, 0.03, 4.41, 0.18, 0.48, 0.03, 5.78, 0.64, 9.14, 0.80, 0.99, 6.69, 0.000, 0.75, 6
9, 1, 301, 68.75, 0.13, 14.17, 0.22, 6.40, 0.34, 2.88, 0.09, 73.16, 2.86, 2.22, 0.38, 0.89, 57.81, 0.031, 7.28, 6
9, 2, 216, 95.66, 0.03, 31.00, 0.12, 5.58, 0.11, 2.44, 0.04, 84.86, 1.14, 2.28, 0.39, 0.90, 42.86, 0.053, 0.49, 3
9, 3, 400, 5.14, 0.12, 34.00, 0.02, 4.21, 0.18, 0.48, 0.02, 5.82, 0.56, 8.80, 0.80, 0.99, 6.31, 0.000, 0.74, 6
9, 4, 400, 90.07, 0.13, 47.03, 0.02, 4.45, 0.16, 0.44, 0.02, 5.08, 0.51, 10.00, 0.82, 0.99, 6.22, 0.001, 0.70, 6
10, 1, 164, 68.20, 0.01, 8.95, 0.01, 5.43, 0.02, 2.65, 0.01, 89.51, 0.15, 2.05, 0.34, 0.87, 45.17, 0.082, 0.06, 0
10, 2, 138, 72.82, 0.01, 23.12, 0.01, 3.63, 0.01, 2.84, 0.01, 91.44, 0.55, 1.28, 0.12, 0.62, 32.38, 0.077, 0.05, 0
10, 3, 173, 18.92, 0.01, 34.52, 0.01, 4.94, 0.01, 2.88, 0.01, 91.40, 0.18, 1.72, 0.26, 0.81, 44.74, 0.085, 0.05, 0
10, 4, 400, 94.66, 0.14, 39.78, 0.02, 4.78, 0.21, 0.42, 0.02, 4.49, 0.39, 11.50, 0.84, 1.00, 6.23, 0.001, 0.68, 6
