Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 174, 83.03, 0.01, 12.59, 0.01, 5.26, 0.02, 2.65, 0.01, 90.99, 0.18, 1.98, 0.33, 0.86, 43.76, 0.069, 0.06, 0
0, 2, 400, 92.80, 0.13, 37.26, 0.01, 4.77, 0.20, 0.41, 0.02, 4.46, 0.37, 11.50, 0.84, 1.00, 6.22, 0.000, 0.68, 6
0, 3, 400, 63.04, 0.12, 51.22, 0.03, 3.88, 0.16, 0.54, 0.03, 7.37, 0.82, 7.15, 0.75, 0.99, 6.63, 0.000, 0.82, 6
0, 4, 400, 24.23, 0.12, 58.18, 0.02, 4.40, 0.18, 0.48, 0.03, 5.74, 0.60, 9.10, 0.80, 0.99, 6.69, 0.000, 0.76, 6
0, 5, 400, 71.95, 0.12, 76.63, 0.02, 4.23, 0.19, 0.47, 0.02, 5.72, 0.48, 8.91, 0.80, 0.99, 6.31, 0.000, 0.73, 6
1, 1, 180, 63.17, 0.01, 11.40, 0.01, 5.15, 0.01, 3.07, 0.01, 91.36, 0.21, 1.68, 0.25, 0.80, 49.72, 0.064, 0.06, 0
1, 2, 400, 75.71, 0.12, 29.14, 0.02, 4.31, 0.18, 0.48, 0.02, 5.69, 0.55, 8.99, 0.80, 0.99, 6.48, 0.000, 0.75, 6
1, 3, 400, 11.41, 0.13, 35.08, 0.01, 4.79, 0.20, 0.41, 0.02, 4.41, 0.40, 11.59, 0.84, 1.00, 6.22, 0.000, 0.67, 6
1, 4, 400, 58.60, 0.11, 41.57, 0.02, 4.02, 0.16, 0.49, 0.02, 6.19, 0.55, 8.22, 0.78, 0.99, 6.18, 0.000, 0.73, 6
2, 1, 375, 79.83, 0.16, 21.90, 0.13, 8.86, 0.26, 4.80, 0.11, 37.73, 1.77, 1.85, 0.30, 0.84, 133.62, 0.052, 4.08, 3
2, 2, 400, 24.04, 0.10, 15.47, 0.02, 3.77, 0.15, 0.54, 0.03, 7.28, 0.69, 7.00, 0.75, 0.99, 6.38, 0.001, 0.80, 6
2, 3, 88, 74.97, 0.03, 22.92, 0.34, 5.85, 0.35, 2.89, 0.05, 92.55, 0.67, 2.02, 0.34, 0.87, 53.20, 0.045, 0.06, 6
2, 4, 164, 87.99, 0.01, 35.01, 0.02, 5.46, 0.03, 2.75, 0.01, 90.29, 0.21, 1.99, 0.33, 0.86, 47.22, 0.065, 0.07, 0
2, 5, 182, 44.47, 0.01, 47.42, 0.02, 5.79, 0.02, 3.03, 0.01, 90.65, 0.23, 1.91, 0.31, 0.85, 55.04, 0.065, 0.08, 0
2, 6, 400, 68.04, 0.13, 43.41, 0.03, 4.39, 0.16, 0.48, 0.03, 5.72, 0.65, 9.09, 0.80, 0.99, 6.67, 0.000, 0.76, 6
2, 7, 181, 30.03, 0.01, 51.04, 0.02, 5.90, 0.02, 2.91, 0.01, 90.91, 0.16, 2.03, 0.34, 0.87, 54.00, 0.061, 0.07, 0
2, 8, 400, 6.66, 0.16, 59.26, 0.03, 5.11, 0.20, 0.42, 0.03, 4.37, 0.50, 12.08, 0.85, 1.00, 6.80, 0.000, 0.71, 6
2, 9, 400, 26.78, 0.12, 71.26, 0.02, 4.20, 0.18, 0.48, 0.02, 5.77, 0.55, 8.81, 0.80, 0.99, 6.29, 0.000, 0.74, 6
3, 1, 400, 33.09, 0.11, 34.86, 0.02, 4.02, 0.17, 0.49, 0.02, 6.25, 0.60, 8.17, 0.78, 0.99, 6.21, 0.000, 0.73, 6
3, 2, 400, 12.32, 0.12, 67.47, 0.02, 4.83, 0.18, 0.42, 0.02, 4.42, 0.39, 11.58, 0.84, 1.00, 6.32, 0.000, 0.70, 6
