Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 48.07, 0.13, 9.01, 0.03, 4.39, 0.18, 0.49, 0.03, 5.79, 0.67, 9.01, 0.80, 0.99, 6.72, 0.001, 0.77, 6
0, 2, 203, 15.49, 0.01, 21.89, 0.01, 6.16, 0.02, 3.80, 0.01, 82.81, 0.22, 1.62, 0.24, 0.79, 73.57, 0.051, 0.07, 0
0, 3, 234, 55.20, 0.01, 36.48, 0.02, 6.69, 0.02, 3.56, 0.01, 89.87, 0.24, 1.88, 0.31, 0.85, 74.83, 0.050, 0.11, 6
0, 4, 248, 68.17, 0.02, 38.08, 0.03, 7.18, 0.05, 3.73, 0.02, 97.11, 0.31, 1.93, 0.32, 0.85, 84.06, 0.050, 0.22, 6
0, 5, 170, 78.25, 0.01, 41.49, 0.01, 4.99, 0.01, 3.75, 0.01, 87.07, 0.37, 1.33, 0.14, 0.66, 58.77, 0.064, 0.07, 0
0, 6, 400, 29.61, 0.13, 39.72, 0.03, 4.39, 0.18, 0.49, 0.03, 5.79, 0.67, 9.01, 0.80, 0.99, 6.72, 0.001, 0.77, 6
0, 7, 400, 79.30, 0.10, 54.86, 0.02, 3.88, 0.15, 0.51, 0.02, 6.61, 0.64, 7.54, 0.77, 0.99, 6.27, 0.001, 0.77, 6
1, 1, 400, 19.17, 0.14, 21.42, 0.03, 4.43, 0.19, 0.48, 0.03, 5.46, 0.64, 9.24, 0.80, 0.99, 6.67, 0.000, 0.77, 6
1, 2, 208, 93.25, 0.01, 43.05, 0.04, 7.08, 0.05, 2.86, 0.02, 88.74, 0.24, 2.48, 0.42, 0.91, 63.50, 0.052, 0.16, 0
1, 3, 195, 41.96, 0.00, 48.04, 0.01, 6.33, 0.02, 3.50, 0.01, 87.64, 0.17, 1.81, 0.29, 0.83, 69.66, 0.051, 0.06, 0
1, 4, 176, 67.74, 0.02, 53.00, 0.02, 4.24, 0.02, 3.69, 0.02, 87.86, 1.76, 1.15, 0.07, 0.49, 49.13, 0.076, 0.14, 0
1, 5, 400, 12.34, 0.21, 53.46, 0.02, 6.10, 0.23, 0.36, 0.02, 3.23, 0.39, 16.90, 0.89, 1.00, 6.92, 0.000, 0.65, 6
2, 1, 207, 79.94, 0.01, 30.29, 0.02, 6.22, 0.02, 3.50, 0.01, 93.16, 0.23, 1.78, 0.28, 0.83, 68.53, 0.050, 0.09, 6
3, 1, 185, 90.53, 0.10, 37.12, 0.16, 6.29, 0.24, 3.04, 0.07, 65.86, 1.84, 2.07, 0.35, 0.88, 59.99, 0.045, 0.82, 6
3, 2, 192, 9.40, 0.01, 38.11, 0.02, 5.22, 0.02, 3.72, 0.02, 87.97, 0.55, 1.40, 0.17, 0.70, 60.99, 0.065, 0.14, 0
3, 3, 239, 82.65, 0.01, 45.71, 0.03, 7.05, 0.03, 3.76, 0.02, 88.63, 0.29, 1.88, 0.30, 0.85, 83.17, 0.065, 0.16, 0
3, 4, 400, 33.42, 0.14, 37.61, 0.02, 5.03, 0.18, 0.43, 0.03, 4.41, 0.50, 11.82, 0.84, 1.00, 6.72, 0.000, 0.71, 6
3, 5, 183, 13.52, 0.01, 66.26, 0.01, 4.78, 0.02, 3.63, 0.01, 87.36, 0.58, 1.32, 0.14, 0.65, 54.55, 0.070, 0.10, 0
3, 6, 400, 87.81, 0.12, 65.69, 0.02, 4.37, 0.18, 0.46, 0.02, 5.26, 0.56, 9.42, 0.81, 0.99, 6.38, 0.000, 0.73, 6
4, 1, 400, 15.89, 0.11, 8.82, 0.02, 4.20, 0.18, 0.48, 0.02, 5.78, 0.52, 8.81, 0.80, 0.99, 6.29, 0.000, 0.74, 6
4, 2, 242, 83.78, 0.01, 19.32, 0.02, 7.66, 0.02, 3.73, 0.01, 87.75, 0.15, 2.05, 0.35, 0.87, 89.69, 0.067, 0.08, 0
4, 3, 400, 6.23, 0.14, 21.42, 0.03, 4.43, 0.20, 0.48, 0.03, 5.56, 0.67, 9.17, 0.80, 0.99, 6.71, 0.000, 0.77, 6
