Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 235, 40.24, 0.05, 20.27, 0.17, 5.54, 0.19, 2.42, 0.07, 77.13, 1.75, 2.29, 0.39, 0.90, 42.15, 0.038, 0.78, 6
0, 2, 400, 87.21, 0.12, 23.59, 0.02, 4.20, 0.18, 0.48, 0.02, 5.82, 0.57, 8.79, 0.80, 0.99, 6.30, 0.001, 0.74, 6
0, 3, 400, 41.96, 0.12, 33.83, 0.02, 4.12, 0.17, 0.48, 0.02, 6.00, 0.54, 8.61, 0.79, 0.99, 6.20, 0.001, 0.73, 6
0, 4, 400, 92.32, 0.15, 36.52, 0.03, 4.44, 0.20, 0.48, 0.03, 5.54, 0.66, 9.20, 0.80, 0.99, 6.73, 0.001, 0.77, 6
0, 5, 336, 66.96, 0.19, 64.31, 0.18, 7.14, 0.19, 5.03, 0.30, 82.42, 8.34, 1.42, 0.17, 0.71, 112.91, 0.066, 7.21, 3
0, 6, 311, 57.37, 0.27, 64.02, 0.17, 8.49, 0.53, 3.77, 0.13, 43.11, 2.23, 2.25, 0.38, 0.90, 100.59, 0.059, 8.20, 3
0, 7, 400, 21.51, 0.11, 62.38, 0.02, 4.01, 0.15, 0.49, 0.02, 6.30, 0.57, 8.17, 0.78, 0.99, 6.20, 0.001, 0.74, 6
0, 8, 139, 73.45, 0.01, 75.46, 0.02, 4.63, 0.03, 2.51, 0.01, 87.93, 0.31, 1.85, 0.30, 0.84, 36.44, 0.081, 0.09, 0
0, 9, 191, 54.32, 0.01, 79.72, 0.01, 6.16, 0.01, 3.07, 0.01, 92.05, 0.13, 2.01, 0.33, 0.87, 59.39, 0.062, 0.06, 0
0, 10, 161, 91.40, 0.01, 79.82, 0.01, 4.67, 0.02, 3.12, 0.01, 82.92, 0.36, 1.50, 0.20, 0.75, 45.77, 0.065, 0.08, 0
1, 1, 258, 49.73, 0.03, 30.13, 0.07, 7.95, 0.10, 3.86, 0.03, 102.93, 0.56, 2.06, 0.35, 0.87, 96.47, 0.072, 53.33, 3
1, 2, 142, 84.73, 0.01, 57.66, 0.01, 4.80, 0.02, 2.33, 0.01, 92.76, 0.18, 2.06, 0.35, 0.87, 35.21, 0.080, 0.05, 0
1, 3, 400, 46.20, 0.13, 53.88, 0.01, 4.68, 0.18, 0.42, 0.02, 4.60, 0.38, 11.18, 0.84, 1.00, 6.15, 0.001, 0.67, 6
1, 4, 400, 7.29, 0.11, 63.26, 0.02, 3.90, 0.15, 0.51, 0.02, 6.66, 0.69, 7.59, 0.77, 0.99, 6.31, 0.000, 0.77, 6
2, 1, 245, 63.97, 0.04, 9.66, 0.16, 6.35, 0.20, 2.43, 0.06, 81.35, 1.34, 2.61, 0.45, 0.92, 48.55, 0.045, 0.74, 6
2, 2, 400, 17.97, 0.16, 7.99, 0.03, 4.44, 0.19, 0.48, 0.03, 5.56, 0.71, 9.21, 0.80, 0.99, 6.71, 0.000, 0.77, 6
2, 3, 400, 11.61, 0.11, 15.22, 0.02, 4.00, 0.16, 0.49, 0.02, 6.26, 0.59, 8.15, 0.78, 0.99, 6.18, 0.000, 0.74, 6
2, 4, 242, 48.87, 0.01, 29.55, 0.02, 9.17, 0.03, 2.91, 0.01, 92.14, 0.08, 3.15, 0.52, 0.95, 83.83, 0.082, 0.08, 0
2, 5, 400, 19.69, 0.12, 30.91, 0.03, 3.90, 0.18, 0.54, 0.03, 6.99, 0.84, 7.17, 0.76, 0.99, 6.66, 0.000, 0.83, 6
