Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 174, 83.59, 0.01, 9.29, 0.02, 5.85, 0.02, 2.61, 0.01, 90.69, 0.17, 2.24, 0.38, 0.90, 47.92, 0.073, 0.07, 0
0, 2, 217, 26.94, 0.11, 10.88, 0.31, 7.91, 0.31, 2.53, 0.08, 72.53, 1.48, 3.13, 0.52, 0.95, 62.82, 0.043, 0.92, 6
0, 3, 400, 21.31, 0.12, 15.71, 0.02, 4.13, 0.18, 0.48, 0.02, 5.94, 0.55, 8.64, 0.79, 0.99, 6.21, 0.000, 0.72, 6
0, 4, 194, 32.37, 0.01, 82.12, 0.02, 6.55, 0.03, 3.11, 0.01, 90.45, 0.19, 2.11, 0.36, 0.88, 64.10, 0.059, 0.09, 0
1, 1, 186, 39.46, 0.01, 36.71, 0.01, 6.04, 0.02, 2.83, 0.01, 90.67, 0.16, 2.13, 0.36, 0.88, 53.69, 0.064, 0.07, 0
1, 2, 180, 91.65, 0.01, 40.45, 0.02, 5.94, 0.03, 2.93, 0.01, 89.69, 0.20, 2.03, 0.34, 0.87, 54.64, 0.065, 0.09, 0
1, 3, 217, 74.50, 0.01, 84.32, 0.06, 7.41, 0.08, 2.77, 0.02, 90.73, 0.26, 2.67, 0.46, 0.93, 64.57, 0.066, 0.21, 3
2, 1, 204, 49.57, 0.04, 27.53, 0.18, 5.45, 0.20, 2.48, 0.06, 79.36, 1.75, 2.19, 0.37, 0.89, 42.48, 0.040, 0.68, 6
2, 2, 169, 57.51, 0.01, 35.18, 0.02, 5.74, 0.02, 2.74, 0.01, 89.99, 0.17, 2.09, 0.35, 0.88, 49.50, 0.062, 0.07, 0
2, 3, 192, 33.29, 0.01, 68.46, 0.01, 6.06, 0.02, 2.87, 0.01, 93.31, 0.14, 2.11, 0.36, 0.88, 54.69, 0.071, 0.07, 0
3, 1, 226, 79.60, 0.04, 10.52, 0.11, 5.86, 0.11, 2.68, 0.05, 82.79, 1.21, 2.18, 0.37, 0.89, 49.37, 0.047, 0.57, 6
