Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 0, 5.87, 0.00, 3.02, 0.00, 0.00, 0.00, 0.00, 0.00, 180.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000, NaN, 1
0, 2, 400, 88.40, 0.18, 19.64, 0.01, 6.25, 0.22, 0.31, 0.01, 2.61, 0.23, 20.22, 0.91, 1.00, 6.08, 0.000, 0.62, 6
0, 3, 400, 33.65, 0.13, 26.69, 0.02, 4.85, 0.19, 0.42, 0.02, 4.42, 0.42, 11.65, 0.84, 1.00, 6.35, 0.000, 0.69, 6
0, 4, 400, 27.72, 0.12, 38.22, 0.02, 4.01, 0.17, 0.49, 0.02, 6.23, 0.63, 8.16, 0.78, 0.99, 6.20, 0.000, 0.73, 6
0, 5, 400, 61.46, 0.12, 40.18, 0.02, 4.36, 0.17, 0.47, 0.02, 5.33, 0.63, 9.35, 0.81, 0.99, 6.40, 0.000, 0.74, 6
0, 6, 400, 51.45, 0.12, 40.38, 0.02, 4.21, 0.18, 0.48, 0.02, 5.79, 0.58, 8.85, 0.80, 0.99, 6.31, 0.000, 0.73, 6
0, 7, 192, 75.26, 0.01, 55.37, 0.02, 5.95, 0.02, 3.14, 0.01, 89.67, 0.21, 1.90, 0.31, 0.85, 58.73, 0.065, 0.08, 0
0, 8, 198, 90.35, 0.03, 66.46, 0.09, 6.05, 0.14, 3.00, 0.05, 76.72, 1.22, 2.01, 0.34, 0.87, 57.09, 0.055, 0.47, 3
0, 9, 400, 40.72, 0.22, 66.21, 0.03, 5.98, 0.29, 0.36, 0.03, 3.05, 0.45, 16.59, 0.89, 1.00, 6.78, 0.000, 0.69, 6
0, 10, 400, 61.34, 0.11, 71.48, 0.02, 3.89, 0.16, 0.52, 0.02, 6.68, 0.73, 7.52, 0.77, 0.99, 6.32, 0.000, 0.78, 6
0, 11, 400, 83.94, 0.12, 76.65, 0.02, 4.01, 0.17, 0.49, 0.02, 6.23, 0.63, 8.16, 0.78, 0.99, 6.20, 0.000, 0.73, 6
1, 1, 192, 43.02, 0.01, 9.31, 0.01, 6.13, 0.02, 3.25, 0.01, 90.89, 0.14, 1.89, 0.31, 0.85, 62.57, 0.092, 0.06, 0
1, 2, 253, 76.36, 0.01, 16.64, 0.02, 9.18, 0.03, 2.98, 0.01, 92.17, 0.07, 3.08, 0.51, 0.95, 85.94, 0.069, 0.07, 0
1, 3, 400, 10.49, 0.15, 13.06, 0.02, 5.05, 0.20, 0.40, 0.02, 4.00, 0.42, 12.61, 0.85, 1.00, 6.36, 0.001, 0.69, 6
1, 4, 400, 19.28, 0.15, 27.20, 0.02, 4.96, 0.19, 0.42, 0.03, 4.46, 0.50, 11.77, 0.84, 1.00, 6.56, 0.001, 0.70, 6
1, 5, 400, 82.94, 0.16, 37.78, 0.02, 5.06, 0.19, 0.42, 0.03, 4.47, 0.53, 11.93, 0.85, 1.00, 6.75, 0.000, 0.70, 6
1, 6, 400, 63.69, 0.17, 42.55, 0.01, 5.39, 0.22, 0.36, 0.02, 3.54, 0.33, 14.90, 0.87, 1.00, 6.12, 0.000, 0.62, 6
