Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 201, 34.45, 0.01, 67.06, 0.02, 6.60, 0.02, 3.18, 0.01, 91.06, 0.16, 2.07, 0.35, 0.88, 66.01, 0.067, 0.08, 0
0, 2, 243, 94.69, 0.01, 73.18, 0.02, 7.38, 0.03, 3.85, 0.01, 87.88, 0.21, 1.92, 0.31, 0.85, 89.24, 0.074, 0.13, 0
2, 1, 400, 14.28, 0.15, 0.52, 0.02, 5.06, 0.18, 0.43, 0.03, 4.52, 0.55, 11.90, 0.84, 1.00, 6.76, 0.001, 0.70, 6
2, 2, 204, 88.82, 0.01, 21.44, 0.01, 6.71, 0.02, 3.51, 0.01, 90.97, 0.14, 1.91, 0.31, 0.85, 73.93, 0.067, 0.07, 0
2, 3, 400, 68.05, 0.14, 18.64, 0.02, 4.85, 0.19, 0.42, 0.02, 4.48, 0.47, 11.60, 0.84, 1.00, 6.37, 0.000, 0.70, 6
2, 4, 279, 54.31, 0.00, 48.67, 0.02, 9.99, 0.02, 3.55, 0.01, 90.00, 0.07, 2.82, 0.48, 0.93, 111.31, 0.076, 0.82, 3
2, 5, 200, 57.84, 0.00, 67.12, 0.01, 6.13, 0.01, 2.96, 0.01, 88.84, 0.12, 2.07, 0.35, 0.88, 56.93, 0.058, 0.05, 0
3, 1, 165, 15.81, 0.01, 24.75, 0.01, 4.47, 0.01, 3.08, 0.01, 90.67, 0.32, 1.45, 0.18, 0.73, 43.26, 0.073, 0.06, 0
3, 2, 400, 29.03, 0.12, 32.90, 0.01, 4.77, 0.19, 0.42, 0.02, 4.50, 0.43, 11.45, 0.84, 1.00, 6.24, 0.000, 0.69, 6
3, 3, 186, 62.81, 0.06, 47.95, 0.14, 6.02, 0.18, 2.47, 0.06, 72.79, 1.29, 2.43, 0.42, 0.91, 46.82, 0.055, 0.59, 3
3, 4, 400, 92.71, 0.13, 45.93, 0.02, 4.40, 0.18, 0.48, 0.03, 5.75, 0.69, 9.08, 0.80, 0.99, 6.69, 0.000, 0.76, 6
3, 5, 400, 54.98, 0.17, 48.83, 0.01, 6.98, 0.27, 0.29, 0.02, 2.29, 0.24, 23.75, 0.92, 1.00, 6.45, 0.001, 0.64, 6
3, 6, 93, 50.73, 0.01, 58.54, 0.10, 4.81, 0.11, 2.66, 0.01, 93.80, 0.45, 1.81, 0.29, 0.83, 40.28, 0.074, 0.05, 0
3, 7, 400, 77.37, 0.12, 61.93, 0.01, 4.77, 0.19, 0.42, 0.02, 4.50, 0.43, 11.45, 0.84, 1.00, 6.24, 0.001, 0.69, 6
4, 1, 400, 9.12, 0.13, 41.40, 0.03, 4.39, 0.17, 0.48, 0.03, 5.78, 0.66, 9.07, 0.80, 0.99, 6.67, 0.000, 0.76, 6
4, 2, 196, 68.74, 0.05, 61.63, 0.13, 6.66, 0.16, 2.76, 0.05, 76.82, 1.50, 2.41, 0.41, 0.91, 57.78, 0.078, 0.60, 3
4, 3, 210, 64.87, 0.05, 73.35, 0.15, 7.31, 0.16, 3.30, 0.05, 77.27, 1.17, 2.22, 0.38, 0.89, 75.67, 0.062, 0.60, 3
4, 4, 174, 50.59, 0.02, 75.73, 0.05, 6.00, 0.08, 3.12, 0.02, 97.26, 0.46, 1.93, 0.32, 0.85, 58.71, 0.076, 0.15, 0
5, 1, 400, 6.76, 0.15, 4.45, 0.01, 5.46, 0.21, 0.36, 0.02, 3.41, 0.30, 15.32, 0.88, 1.00, 6.11, 0.000, 0.63, 6
5, 2, 244, 11.21, 0.01, 32.76, 0.02, 7.57, 0.02, 3.91, 0.01, 92.12, 0.15, 1.94, 0.32, 0.86, 92.88, 0.065, 0.09, 0
5, 3, 400, 66.40, 0.12, 37.69, 0.02, 4.20, 0.18, 0.48, 0.02, 5.79, 0.55, 8.82, 0.80, 0.99, 6.30, 0.000, 0.74, 6
5, 4, 154, 85.54, 0.01, 83.74, 0.01, 4.57, 0.01, 3.13, 0.01, 87.88, 0.29, 1.46, 0.19, 0.73, 44.96, 0.067, 0.05, 0
5, 5, 161, 8.00, 0.01, 86.08, 0.02, 4.85, 0.02, 2.62, 0.01, 90.54, 0.26, 1.85, 0.30, 0.84, 39.87, 0.064, 0.08, 0
6, 1, 400, 41.88, 0.13, 42.63, 0.02, 4.84, 0.21, 0.42, 0.02, 4.46, 0.46, 11.57, 0.84, 1.00, 6.35, 0.000, 0.70, 6
7, 1, 289, 53.18, 0.03, 18.99, 0.23, 9.67, 0.28, 3.53, 0.04, 89.53, 0.53, 2.74, 0.47, 0.93, 107.22, 0.088, 4.68, 3
7, 2, 400, 19.87, 0.11, 14.92, 0.02, 3.90, 0.15, 0.51, 0.02, 6.65, 0.68, 7.59, 0.77, 0.99, 6.31, 0.001, 0.77, 6
7, 3, 252, 59.57, 0.03, 23.92, 0.05, 7.33, 0.16, 3.55, 0.05, 89.09, 0.65, 2.07, 0.35, 0.87, 81.67, 0.076, 0.43, 3
7, 4, 370, 75.50, 0.08, 27.65, 0.12, 7.30, 0.17, 4.10, 0.09, 76.20, 2.32, 1.78, 0.28, 0.83, 94.06, 0.032, 3.71, 6
