Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 239, 56.77, 0.03, 9.14, 0.09, 5.85, 0.09, 2.99, 0.05, 83.30, 1.07, 1.95, 0.32, 0.86, 54.96, 0.047, 0.56, 6
0, 2, 400, 77.89, 0.16, 4.72, 0.03, 5.05, 0.18, 0.42, 0.03, 4.45, 0.49, 11.88, 0.84, 1.00, 6.73, 0.000, 0.70, 6
0, 3, 400, 59.15, 0.14, 18.80, 0.02, 4.85, 0.20, 0.42, 0.02, 4.40, 0.39, 11.63, 0.84, 1.00, 6.35, 0.000, 0.69, 6
0, 4, 196, 32.95, 0.01, 31.50, 0.02, 6.50, 0.02, 2.79, 0.01, 88.47, 0.13, 2.33, 0.40, 0.90, 57.07, 0.071, 0.07, 0
0, 5, 184, 43.53, 0.01, 39.15, 0.02, 6.38, 0.02, 3.40, 0.01, 87.92, 0.17, 1.88, 0.30, 0.85, 68.11, 0.073, 0.06, 0
0, 6, 400, 51.76, 0.13, 40.22, 0.03, 4.38, 0.17, 0.49, 0.03, 5.83, 0.67, 9.02, 0.80, 0.99, 6.69, 0.001, 0.77, 6
0, 7, 400, 62.94, 0.13, 58.07, 0.01, 4.77, 0.20, 0.42, 0.02, 4.43, 0.38, 11.46, 0.84, 1.00, 6.24, 0.001, 0.68, 6
1, 1, 400, 50.01, 0.15, 5.32, 0.01, 5.12, 0.18, 0.39, 0.02, 3.85, 0.37, 13.28, 0.86, 1.00, 6.21, 0.000, 0.66, 6
1, 2, 400, 48.75, 0.11, 6.53, 0.02, 3.90, 0.15, 0.52, 0.02, 6.63, 0.63, 7.55, 0.77, 0.99, 6.34, 0.000, 0.77, 6
1, 3, 157, 44.63, 0.01, 26.63, 0.01, 5.22, 0.02, 2.81, 0.01, 91.46, 0.17, 1.86, 0.30, 0.84, 46.14, 0.084, 0.05, 0
1, 4, 400, 60.39, 0.14, 21.83, 0.02, 4.95, 0.20, 0.42, 0.03, 4.40, 0.49, 11.84, 0.84, 1.00, 6.51, 0.001, 0.69, 6
