Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 44.66, 0.14, 4.27, 0.02, 4.38, 0.17, 0.47, 0.02, 5.37, 0.61, 9.39, 0.81, 0.99, 6.42, 0.000, 0.74, 6
0, 2, 219, 51.68, 0.01, 45.74, 0.02, 7.07, 0.02, 3.46, 0.01, 89.69, 0.16, 2.04, 0.34, 0.87, 76.87, 0.055, 0.08, 0
0, 3, 178, 78.18, 0.01, 54.78, 0.02, 6.48, 0.03, 3.74, 0.01, 93.87, 0.18, 1.74, 0.27, 0.82, 76.08, 0.048, 0.06, 6
0, 4, 400, 95.57, 0.12, 62.25, 0.02, 3.90, 0.15, 0.51, 0.02, 6.64, 0.66, 7.58, 0.77, 0.99, 6.31, 0.002, 0.77, 6
1, 1, 228, 21.79, 0.05, 43.58, 0.07, 4.93, 0.07, 3.37, 0.08, 73.97, 2.62, 1.46, 0.19, 0.73, 52.24, 0.048, 0.61, 6
1, 2, 207, 81.43, 0.01, 74.90, 0.01, 6.68, 0.02, 3.39, 0.01, 90.48, 0.15, 1.97, 0.33, 0.86, 71.11, 0.057, 0.07, 0
1, 3, 203, 26.66, 0.01, 82.83, 0.02, 6.18, 0.02, 3.50, 0.01, 90.79, 0.24, 1.76, 0.28, 0.82, 68.02, 0.059, 0.08, 0
2, 1, 251, 14.41, 0.07, 19.92, 0.09, 5.43, 0.09, 3.12, 0.08, 73.44, 2.18, 1.74, 0.27, 0.82, 53.16, 0.039, 0.77, 6
2, 2, 207, 45.54, 0.01, 35.62, 0.02, 7.13, 0.03, 3.52, 0.01, 92.33, 0.16, 2.03, 0.34, 0.87, 78.92, 0.063, 0.09, 0
2, 3, 238, 34.37, 0.01, 43.24, 0.01, 8.01, 0.02, 3.71, 0.01, 92.04, 0.09, 2.16, 0.37, 0.89, 93.27, 0.057, 0.06, 0
2, 4, 192, 15.08, 0.01, 58.63, 0.02, 5.96, 0.03, 3.65, 0.01, 90.92, 0.28, 1.63, 0.24, 0.79, 68.28, 0.055, 0.10, 0
2, 5, 400, 16.64, 0.13, 70.06, 0.02, 4.37, 0.17, 0.46, 0.02, 5.28, 0.56, 9.39, 0.81, 0.99, 6.38, 0.000, 0.73, 6
2, 6, 207, 26.87, 0.02, 80.19, 0.04, 6.62, 0.06, 3.79, 0.04, 99.07, 0.48, 1.75, 0.27, 0.82, 78.74, 0.055, 0.20, 3
3, 1, 210, 31.77, 0.01, 8.42, 0.02, 6.33, 0.02, 3.82, 0.01, 93.99, 0.26, 1.66, 0.25, 0.80, 76.00, 0.089, 0.09, 0
3, 2, 263, 47.40, 0.04, 9.79, 0.09, 7.22, 0.12, 3.50, 0.05, 81.56, 0.86, 2.06, 0.35, 0.87, 79.46, 0.042, 22.12, 6
3, 3, 198, 88.03, 0.01, 76.27, 0.01, 5.53, 0.02, 3.57, 0.01, 89.82, 0.23, 1.55, 0.22, 0.76, 62.13, 0.064, 0.07, 0
4, 1, 212, 11.56, 0.01, 40.20, 0.02, 5.33, 0.03, 4.36, 0.01, 98.49, 0.79, 1.22, 0.10, 0.57, 73.04, 0.082, 0.12, 0
4, 2, 200, 61.24, 0.01, 50.43, 0.01, 6.30, 0.02, 3.69, 0.01, 92.48, 0.18, 1.71, 0.26, 0.81, 72.93, 0.066, 0.06, 0
4, 3, 252, 31.55, 0.06, 69.98, 0.11, 5.60, 0.12, 2.91, 0.07, 74.66, 1.65, 1.92, 0.32, 0.85, 51.25, 0.037, 0.75, 6
4, 4, 283, 63.74, 0.06, 76.69, 0.08, 9.12, 0.13, 4.22, 0.04, 63.41, 0.52, 2.16, 0.37, 0.89, 120.91, 0.059, 5.19, 3
5, 1, 248, 34.96, 0.07, 27.94, 0.13, 6.55, 0.15, 2.76, 0.08, 74.02, 1.35, 2.37, 0.41, 0.91, 56.83, 0.041, 0.79, 6
5, 2, 213, 24.92, 0.01, 31.64, 0.02, 6.46, 0.03, 3.67, 0.02, 92.38, 0.30, 1.76, 0.28, 0.82, 74.46, 0.082, 0.13, 0
5, 3, 236, 29.71, 0.01, 71.25, 0.02, 7.50, 0.03, 3.59, 0.01, 90.55, 0.16, 2.09, 0.35, 0.88, 84.52, 0.056, 0.11, 0
5, 4, 400, 81.82, 0.13, 64.63, 0.02, 4.58, 0.18, 0.43, 0.02, 4.81, 0.42, 10.72, 0.83, 1.00, 6.16, 0.000, 0.68, 6
6, 1, 244, 45.54, 0.01, 10.52, 0.06, 7.94, 0.11, 3.55, 0.02, 91.32, 0.38, 2.24, 0.38, 0.89, 88.49, 0.056, 0.25, 3
6, 2, 272, 88.65, 0.01, 19.38, 0.07, 7.90, 0.08, 3.21, 0.02, 86.80, 0.27, 2.46, 0.42, 0.91, 79.70, 0.046, 5.76, 6
6, 3, 261, 66.98, 0.04, 30.25, 0.10, 6.26, 0.10, 3.02, 0.05, 80.16, 1.07, 2.07, 0.35, 0.88, 59.43, 0.045, 32.99, 6
6, 4, 245, 81.04, 0.01, 50.86, 0.02, 8.21, 0.03, 3.41, 0.01, 92.05, 0.13, 2.41, 0.41, 0.91, 88.09, 0.055, 0.11, 0
6, 5, 211, 92.81, 0.01, 50.02, 0.01, 7.01, 0.02, 3.18, 0.01, 92.62, 0.13, 2.21, 0.38, 0.89, 69.97, 0.060, 0.07, 0
6, 6, 216, 27.06, 0.02, 55.32, 0.03, 5.48, 0.05, 3.80, 0.03, 77.19, 0.92, 1.44, 0.18, 0.72, 65.37, 0.066, 0.22, 3
7, 1, 257, 49.31, 0.05, 13.01, 0.10, 6.96, 0.11, 3.44, 0.05, 80.85, 1.41, 2.02, 0.34, 0.87, 75.20, 0.045, 174.26, 6
7, 2, 220, 72.78, 0.00, 21.35, 0.01, 7.68, 0.02, 3.14, 0.01, 91.64, 0.08, 2.45, 0.42, 0.91, 75.70, 0.067, 0.06, 0
7, 3, 222, 89.04, 0.01, 32.52, 0.02, 6.46, 0.02, 3.68, 0.01, 91.08, 0.23, 1.76, 0.27, 0.82, 74.60, 0.083, 0.10, 0
7, 4, 200, 33.51, 0.01, 41.19, 0.01, 6.61, 0.02, 3.57, 0.01, 91.32, 0.16, 1.85, 0.30, 0.84, 73.99, 0.083, 0.07, 0
7, 5, 211, 56.73, 0.01, 50.39, 0.02, 6.62, 0.02, 3.75, 0.01, 89.03, 0.21, 1.77, 0.28, 0.82, 77.89, 0.058, 0.09, 0
7, 6, 400, 21.56, 0.13, 66.47, 0.02, 4.85, 0.19, 0.42, 0.02, 4.40, 0.41, 11.61, 0.84, 1.00, 6.35, 0.000, 0.69, 6
8, 1, 239, 85.66, 0.01, 24.69, 0.02, 7.96, 0.02, 3.56, 0.01, 91.51, 0.11, 2.24, 0.38, 0.89, 89.07, 0.063, 0.08, 0
8, 2, 251, 66.69, 0.05, 31.53, 0.08, 6.23, 0.09, 3.79, 0.05, 79.60, 1.58, 1.65, 0.24, 0.79, 74.11, 0.042, 0.64, 6
8, 3, 284, 28.30, 0.06, 72.45, 0.08, 6.16, 0.08, 3.41, 0.06, 77.62, 1.47, 1.81, 0.29, 0.83, 66.07, 0.040, 7.26, 6
9, 1, 198, 6.49, 0.01, 10.88, 0.01, 5.28, 0.01, 3.73, 0.01, 92.22, 0.32, 1.42, 0.17, 0.71, 61.84, 0.074, 0.07, 0
