Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 110, 91.30, 0.05, 21.58, 0.04, 3.61, 0.05, 2.40, 0.05, 156.78, 1.91, 1.50, 0.20, 0.75, 27.21, 0.026, 0.23, 6
0, 2, 130, 116.04, 0.02, 43.15, 0.02, 3.92, 0.02, 3.76, 0.03, 68.60, 7.10, 1.04, 0.02, 0.29, 46.35, 0.037, 0.13, 0
0, 3, 332, 104.08, 0.47, 92.37, 0.21, 12.22, 0.82, 2.88, 0.16, 12.70, 1.20, 4.24, 0.62, 0.97, 110.72, 0.029, 5.81, 6
0, 4, 170, 94.39, 237.33, 91.55, 27.04, 55.59, 232.70, 1.52, 0.87, 30.69, 59.51, 36.68, 0.95, 1.00, 264.69, 0.039, 1.72, 3
0, 5, 400, 93.45, 1.68, 95.96, 0.25, 22.50, 1.83, 2.09, 0.15, 3.84, 0.66, 10.76, 0.83, 1.00, 147.78, 0.025, 2.90, 6
0, 6, 400, 69.91, 0.43, 97.41, 0.09, 17.57, 0.97, 2.61, 0.08, 3.73, 0.40, 6.73, 0.74, 0.99, 144.10, 0.030, 2.78, 6
1, 1, 156, 10.94, 0.02, 11.11, 0.09, 6.89, 0.09, 2.47, 0.02, 86.94, 0.48, 2.79, 0.47, 0.93, 53.44, 0.028, 0.21, 6
1, 2, 132, 69.81, 0.02, 11.38, 0.10, 6.05, 0.17, 2.36, 0.04, 87.24, 0.61, 2.56, 0.44, 0.92, 44.95, 0.025, 0.17, 6
1, 3, 135, 109.01, 0.06, 17.08, 0.20, 5.45, 0.26, 2.33, 0.06, 87.15, 1.58, 2.34, 0.40, 0.90, 39.80, 0.019, 0.47, 6
1, 4, 275, 15.99, 0.15, 23.56, 0.25, 9.01, 0.41, 3.75, 0.14, 80.43, 3.05, 2.40, 0.41, 0.91, 106.13, 0.027, 23.47, 6
1, 5, 174, 81.92, 0.03, 20.28, 0.09, 7.07, 0.10, 2.84, 0.03, 83.75, 0.80, 2.49, 0.43, 0.92, 63.01, 0.026, 0.37, 6
1, 6, 110, 86.21, 0.08, 18.50, 0.07, 4.52, 0.11, 2.40, 0.12, 94.92, 1.23, 1.88, 0.31, 0.85, 34.11, 0.031, 0.33, 3
1, 7, 179, 61.56, 0.04, 24.24, 0.12, 7.16, 0.15, 2.55, 0.04, 81.73, 0.79, 2.80, 0.47, 0.93, 57.40, 0.025, 0.45, 6
1, 8, 187, 113.87, 0.03, 27.40, 0.08, 6.49, 0.10, 4.18, 0.03, 97.23, 1.08, 1.55, 0.22, 0.76, 85.32, 0.038, 0.39, 3
1, 9, 155, 56.52, 0.03, 30.60, 0.11, 6.93, 0.15, 2.18, 0.03, 83.87, 0.84, 3.17, 0.52, 0.95, 47.55, 0.024, 0.27, 6
1, 10, 400, 11.44, 0.11, 25.93, 0.05, 3.41, 0.14, 0.95, 0.05, 15.51, 1.75, 3.58, 0.56, 0.96, 10.19, 0.001, 1.28, 6
1, 11, 125, 71.24, 0.01, 33.54, 0.04, 5.80, 0.06, 2.36, 0.01, 86.60, 0.28, 2.46, 0.42, 0.91, 42.94, 0.023, 0.10, 6
1, 12, 154, 117.54, 0.01, 44.28, 0.04, 6.38, 0.06, 2.97, 0.02, 87.10, 0.31, 2.15, 0.37, 0.89, 59.44, 0.038, 0.14, 0
1, 13, 132, 109.28, 0.01, 50.12, 0.03, 5.44, 0.05, 2.43, 0.02, 86.43, 0.31, 2.24, 0.38, 0.89, 41.55, 0.026, 0.11, 6
1, 14, 400, 18.19, 0.10, 49.59, 0.04, 3.42, 0.14, 0.91, 0.04, 14.30, 1.32, 3.77, 0.58, 0.96, 9.72, 0.002, 1.20, 6
1, 15, 94, 60.51, 0.02, 80.80, 0.04, 3.33, 0.05, 2.11, 0.03, 90.18, 1.16, 1.58, 0.22, 0.77, 22.02, 0.042, 0.16, 0
1, 16, 112, 106.95, 0.02, 92.14, 0.04, 4.60, 0.05, 2.26, 0.02, 90.24, 0.46, 2.04, 0.34, 0.87, 32.68, 0.034, 0.13, 0
1, 17, 134, 23.30, 0.01, 100.35, 0.05, 6.04, 0.08, 2.32, 0.02, 82.98, 0.36, 2.60, 0.44, 0.92, 44.04, 0.028, 0.15, 6
1, 18, 118, 36.68, 0.02, 103.65, 0.03, 4.51, 0.05, 2.39, 0.01, 80.09, 0.57, 1.89, 0.31, 0.85, 33.88, 0.030, 0.13, 0
1, 19, 123, 85.45, 0.02, 106.83, 0.02, 3.95, 0.02, 3.31, 0.02, 84.39, 1.67, 1.19, 0.09, 0.55, 41.07, 0.039, 0.11, 0
2, 1, 179, 33.24, 0.03, 16.23, 0.06, 5.44, 0.06, 4.14, 0.04, 67.54, 2.02, 1.31, 0.14, 0.65, 70.76, 0.033, 0.35, 3
2, 2, 117, 57.39, 0.04, 17.90, 0.23, 5.60, 0.30, 2.73, 0.06, 86.09, 1.10, 2.05, 0.34, 0.87, 48.01, 0.042, 0.26, 3
2, 3, 157, 80.84, 0.01, 25.58, 0.03, 7.29, 0.04, 2.08, 0.01, 85.94, 0.14, 3.50, 0.56, 0.96, 47.63, 0.028, 0.07, 6
