Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 148, 65.95, 0.01, 15.41, 0.03, 6.70, 0.04, 2.14, 0.01, 86.01, 0.13, 3.14, 0.52, 0.95, 44.96, 0.042, 0.07, 0
0, 2, 150, 58.94, 0.01, 24.37, 0.03, 6.31, 0.03, 2.23, 0.01, 84.29, 0.15, 2.82, 0.48, 0.94, 44.24, 0.034, 0.08, 0
0, 3, 133, 119.19, 0.01, 27.95, 0.02, 6.23, 0.02, 2.52, 0.01, 86.76, 0.18, 2.47, 0.42, 0.91, 49.38, 0.040, 0.06, 0
0, 4, 400, 21.86, 0.10, 34.04, 0.04, 3.40, 0.14, 0.95, 0.04, 15.48, 1.69, 3.59, 0.56, 0.96, 10.13, 0.002, 1.28, 6
0, 5, 113, 54.67, 0.06, 39.76, 0.15, 4.98, 0.22, 1.68, 0.06, 74.52, 1.46, 2.97, 0.50, 0.94, 26.20, 0.019, 0.33, 6
0, 6, 335, 29.28, 0.03, 54.10, 0.27, 19.43, 0.49, 2.47, 0.03, 86.49, 0.18, 7.86, 0.77, 0.99, 150.89, 0.033, 1.82, 3
0, 7, 162, 110.61, 0.01, 55.22, 0.02, 7.00, 0.03, 2.67, 0.01, 88.04, 0.15, 2.62, 0.45, 0.92, 58.77, 0.044, 0.08, 0
0, 8, 160, 41.33, 0.01, 57.88, 0.02, 6.84, 0.03, 2.70, 0.01, 82.88, 0.14, 2.53, 0.43, 0.92, 58.06, 0.027, 0.07, 6
0, 9, 157, 11.05, 0.01, 72.78, 0.02, 6.75, 0.03, 2.47, 0.01, 86.52, 0.14, 2.74, 0.46, 0.93, 52.31, 0.030, 0.07, 6
0, 10, 165, 90.81, 0.01, 87.26, 0.02, 7.10, 0.03, 2.48, 0.01, 86.78, 0.13, 2.86, 0.48, 0.94, 55.21, 0.034, 0.07, 0
0, 11, 400, 27.44, 0.09, 90.37, 0.05, 3.17, 0.13, 0.99, 0.04, 17.69, 1.93, 3.19, 0.52, 0.95, 9.89, 0.002, 1.30, 6
0, 12, 157, 121.68, 0.01, 98.28, 0.02, 7.36, 0.03, 2.16, 0.01, 83.66, 0.09, 3.41, 0.55, 0.96, 49.91, 0.036, 0.06, 0
0, 13, 129, 46.16, 0.01, 98.40, 0.05, 7.06, 0.07, 2.32, 0.01, 87.08, 0.17, 3.04, 0.50, 0.94, 51.47, 0.033, 0.08, 0
0, 14, 155, 58.32, 0.01, 97.78, 0.03, 6.63, 0.04, 2.32, 0.01, 85.24, 0.19, 2.86, 0.48, 0.94, 48.39, 0.026, 0.09, 6
0, 15, 145, 14.28, 0.01, 98.27, 0.02, 6.64, 0.03, 2.19, 0.01, 86.41, 0.12, 3.03, 0.50, 0.94, 45.81, 0.029, 0.06, 6
1, 1, 400, 38.82, 0.09, 11.67, 0.04, 3.43, 0.15, 0.90, 0.04, 14.40, 1.43, 3.79, 0.58, 0.96, 9.73, 0.002, 1.20, 6
1, 2, 136, 21.47, 0.01, 26.96, 0.02, 5.72, 0.03, 2.25, 0.01, 88.30, 0.18, 2.54, 0.43, 0.92, 40.43, 0.036, 0.07, 0
1, 3, 400, 121.16, 0.12, 23.52, 0.05, 3.67, 0.16, 0.89, 0.04, 13.23, 1.50, 4.15, 0.61, 0.97, 10.22, 0.002, 1.23, 6
1, 4, 163, 24.22, 0.01, 41.80, 0.03, 7.28, 0.04, 2.48, 0.01, 87.66, 0.14, 2.93, 0.49, 0.94, 56.72, 0.036, 0.09, 0
1, 5, 265, 43.62, 0.04, 63.29, 0.28, 14.64, 0.45, 2.20, 0.04, 84.11, 0.22, 6.66, 0.74, 0.99, 101.12, 0.027, 11.80, 6
1, 6, 279, 28.31, 0.04, 67.51, 0.36, 13.06, 0.52, 2.48, 0.06, 87.95, 0.46, 5.27, 0.68, 0.98, 101.56, 0.028, 7.06, 6
1, 7, 167, 111.37, 0.06, 68.21, 0.30, 7.73, 0.15, 2.46, 0.03, 87.77, 0.38, 3.14, 0.52, 0.95, 59.79, 0.042, 0.28, 3
1, 8, 161, 14.36, 0.01, 72.71, 0.02, 6.66, 0.02, 2.46, 0.01, 84.50, 0.13, 2.71, 0.46, 0.93, 51.54, 0.027, 0.07, 6
1, 9, 400, 117.36, 0.09, 71.04, 0.04, 3.43, 0.15, 0.90, 0.04, 14.40, 1.43, 3.79, 0.58, 0.96, 9.73, 0.002, 1.20, 6
1, 10, 137, 58.52, 0.01, 78.08, 0.02, 5.60, 0.03, 2.01, 0.01, 81.12, 0.18, 2.78, 0.47, 0.93, 35.42, 0.026, 0.07, 6
1, 11, 150, 49.12, 0.01, 80.44, 0.02, 5.94, 0.02, 2.58, 0.01, 89.70, 0.20, 2.30, 0.39, 0.90, 48.17, 0.029, 0.07, 6
1, 12, 143, 94.11, 0.01, 82.90, 0.02, 6.21, 0.03, 2.38, 0.01, 84.56, 0.18, 2.62, 0.45, 0.92, 46.39, 0.037, 0.08, 0
1, 13, 150, 75.42, 0.01, 84.55, 0.03, 7.05, 0.04, 2.06, 0.01, 86.27, 0.11, 3.42, 0.55, 0.96, 45.73, 0.037, 0.06, 0
1, 14, 400, 40.92, 0.10, 86.44, 0.04, 3.15, 0.15, 1.00, 0.05, 18.39, 1.76, 3.15, 0.52, 0.95, 9.92, 0.002, 1.31, 6
2, 1, 156, 32.64, 0.48, 6.21, 0.14, 6.07, 0.59, 2.13, 0.11, 15.07, 2.27, 2.85, 0.48, 0.94, 40.55, 0.014, 0.80, 6
2, 2, 145, 60.82, 0.01, 20.91, 0.02, 6.53, 0.03, 2.28, 0.01, 87.38, 0.13, 2.86, 0.48, 0.94, 46.84, 0.045, 0.06, 0
2, 3, 162, 66.09, 0.01, 35.26, 0.03, 6.94, 0.04, 2.36, 0.01, 84.86, 0.16, 2.94, 0.49, 0.94, 51.48, 0.032, 0.09, 0
2, 4, 225, 44.31, 0.02, 39.48, 0.08, 10.57, 0.09, 2.34, 0.03, 89.57, 0.15, 4.51, 0.64, 0.98, 77.72, 0.030, 0.19, 6
2, 5, 242, 115.96, 0.29, 44.74, 0.36, 9.56, 0.76, 3.43, 0.13, 67.32, 2.38, 2.79, 0.47, 0.93, 103.04, 0.039, 1.26, 3
