Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 131, 117.97, 0.01, 8.20, 0.03, 5.65, 0.03, 2.09, 0.01, 85.92, 0.20, 2.70, 0.46, 0.93, 37.15, 0.031, 0.08, 0
0, 2, 151, 88.90, 0.01, 21.52, 0.03, 6.95, 0.04, 2.25, 0.01, 88.07, 0.13, 3.09, 0.51, 0.95, 49.20, 0.044, 0.07, 0
0, 3, 155, 110.17, 0.01, 24.45, 0.03, 6.76, 0.04, 2.37, 0.01, 88.34, 0.15, 2.86, 0.48, 0.94, 50.31, 0.033, 0.10, 0
0, 4, 167, 35.23, 0.01, 29.11, 0.03, 7.65, 0.04, 2.43, 0.01, 86.92, 0.14, 3.14, 0.52, 0.95, 58.50, 0.036, 0.09, 0
0, 5, 163, 16.59, 0.01, 44.92, 0.03, 7.06, 0.04, 2.16, 0.01, 82.90, 0.16, 3.26, 0.53, 0.95, 48.03, 0.025, 0.09, 6
0, 6, 150, 111.34, 0.01, 49.68, 0.02, 7.00, 0.03, 2.13, 0.01, 84.77, 0.11, 3.28, 0.53, 0.95, 46.88, 0.040, 0.06, 0
0, 7, 224, 89.62, 0.01, 53.79, 0.04, 10.75, 0.06, 2.17, 0.01, 89.16, 0.08, 4.96, 0.66, 0.98, 73.11, 0.042, 0.10, 4
0, 8, 140, 28.98, 0.01, 55.44, 0.03, 6.51, 0.04, 2.22, 0.01, 86.80, 0.14, 2.93, 0.49, 0.94, 45.38, 0.034, 0.07, 0
0, 9, 400, 72.39, 0.16, 50.23, 0.02, 5.69, 0.22, 0.53, 0.02, 4.78, 0.43, 10.72, 0.83, 1.00, 9.48, 0.000, 0.84, 6
0, 10, 157, 46.67, 0.01, 61.09, 0.03, 7.11, 0.04, 2.22, 0.01, 88.57, 0.13, 3.20, 0.52, 0.95, 49.64, 0.037, 0.09, 0
0, 11, 160, 118.28, 0.01, 69.05, 0.03, 7.14, 0.04, 2.09, 0.01, 84.78, 0.12, 3.41, 0.55, 0.96, 47.00, 0.040, 0.09, 0
0, 12, 174, 6.18, 0.02, 70.42, 0.14, 8.48, 0.17, 2.44, 0.02, 86.88, 0.43, 3.47, 0.55, 0.96, 65.00, 0.029, 0.16, 6
0, 13, 177, 20.00, 0.01, 71.14, 0.03, 7.40, 0.04, 2.63, 0.01, 89.16, 0.14, 2.82, 0.48, 0.93, 61.04, 0.031, 0.10, 0
0, 14, 392, 50.73, 0.06, 90.77, 0.25, 13.24, 0.31, 3.15, 0.06, 86.87, 0.74, 4.21, 0.62, 0.97, 130.96, 0.026, 3.60, 6
0, 15, 187, 8.95, 0.03, 81.78, 0.09, 7.27, 0.17, 2.28, 0.05, 87.39, 0.46, 3.18, 0.52, 0.95, 52.10, 0.023, 0.33, 6
0, 16, 158, 57.45, 0.01, 88.21, 0.04, 6.95, 0.05, 2.07, 0.01, 86.13, 0.17, 3.36, 0.54, 0.95, 45.19, 0.030, 0.10, 6
0, 17, 151, 71.60, 0.01, 87.64, 0.03, 6.65, 0.04, 2.27, 0.01, 83.22, 0.17, 2.93, 0.49, 0.94, 47.46, 0.025, 0.09, 6
0, 18, 158, 90.91, 0.01, 98.31, 0.04, 7.01, 0.05, 2.48, 0.01, 87.09, 0.19, 2.83, 0.48, 0.94, 54.53, 0.034, 0.11, 0
1, 1, 149, 80.35, 0.01, 14.23, 0.02, 6.41, 0.03, 2.44, 0.01, 87.55, 0.15, 2.63, 0.45, 0.92, 49.23, 0.040, 0.08, 0
1, 2, 152, 99.59, 0.01, 16.70, 0.02, 6.72, 0.03, 2.05, 0.01, 80.64, 0.13, 3.27, 0.53, 0.95, 43.31, 0.034, 0.07, 0
1, 3, 182, 106.18, 0.01, 21.38, 0.03, 7.88, 0.04, 2.63, 0.01, 85.48, 0.15, 2.99, 0.50, 0.94, 65.13, 0.035, 0.11, 0
1, 4, 197, 26.04, 0.02, 26.85, 0.06, 7.56, 0.09, 3.52, 0.02, 95.12, 0.33, 2.15, 0.36, 0.89, 83.62, 0.032, 0.27, 3
1, 5, 147, 65.27, 0.01, 27.85, 0.02, 6.24, 0.03, 2.34, 0.01, 84.81, 0.16, 2.67, 0.46, 0.93, 45.81, 0.038, 0.08, 0
1, 6, 162, 75.51, 0.01, 38.65, 0.03, 7.32, 0.04, 2.32, 0.01, 84.85, 0.13, 3.15, 0.52, 0.95, 53.41, 0.039, 0.08, 0
1, 7, 165, 56.05, 0.01, 39.41, 0.03, 7.44, 0.04, 2.25, 0.01, 88.76, 0.11, 3.31, 0.54, 0.95, 52.57, 0.041, 0.08, 0
1, 8, 153, 94.97, 0.02, 39.94, 0.08, 7.51, 0.13, 2.35, 0.03, 92.88, 0.32, 3.19, 0.52, 0.95, 55.47, 0.041, 0.23, 3
1, 9, 237, 98.95, 0.02, 46.25, 0.39, 13.65, 0.64, 2.30, 0.03, 86.10, 0.30, 5.94, 0.71, 0.99, 98.51, 0.038, 0.38, 3
1, 10, 150, 120.50, 0.01, 47.98, 0.03, 6.72, 0.04, 2.08, 0.01, 84.77, 0.15, 3.22, 0.53, 0.95, 43.97, 0.037, 0.08, 0
1, 11, 168, 65.15, 0.01, 60.87, 0.02, 7.81, 0.04, 2.28, 0.01, 86.69, 0.10, 3.42, 0.55, 0.96, 55.90, 0.034, 0.07, 0
1, 12, 151, 13.51, 0.01, 64.98, 0.03, 6.79, 0.03, 2.06, 0.01, 83.81, 0.13, 3.30, 0.53, 0.95, 43.87, 0.026, 0.08, 6
1, 13, 154, 22.14, 0.01, 74.40, 0.02, 6.90, 0.04, 2.37, 0.01, 84.21, 0.13, 2.92, 0.49, 0.94, 51.26, 0.030, 0.07, 0
1, 14, 160, 86.61, 0.01, 79.27, 0.03, 7.20, 0.04, 2.22, 0.01, 82.84, 0.13, 3.24, 0.53, 0.95, 50.29, 0.036, 0.09, 0
1, 15, 158, 79.90, 0.01, 80.30, 0.04, 7.51, 0.06, 2.08, 0.01, 84.76, 0.12, 3.62, 0.57, 0.96, 48.94, 0.035, 0.09, 0
1, 16, 164, 30.89, 0.01, 82.29, 0.03, 7.18, 0.04, 2.39, 0.01, 84.15, 0.15, 3.00, 0.50, 0.94, 53.92, 0.028, 0.09, 6
1, 17, 158, 98.72, 0.03, 83.29, 0.10, 6.81, 0.15, 2.51, 0.03, 79.62, 0.70, 2.72, 0.46, 0.93, 53.64, 0.038, 0.33, 3
1, 18, 148, 115.23, 0.01, 85.28, 0.02, 6.58, 0.03, 2.29, 0.01, 89.14, 0.13, 2.87, 0.48, 0.94, 47.31, 0.043, 0.06, 0
1, 19, 157, 94.05, 0.03, 92.75, 0.13, 7.68, 0.20, 1.97, 0.02, 83.28, 0.50, 3.89, 0.59, 0.97, 47.57, 0.043, 0.23, 3
1, 20, 152, 15.71, 0.01, 94.09, 0.02, 6.97, 0.03, 2.13, 0.01, 84.47, 0.10, 3.27, 0.53, 0.95, 46.68, 0.026, 0.06, 6
2, 1, 143, 52.29, 0.01, 12.17, 0.04, 6.81, 0.06, 2.17, 0.01, 86.09, 0.19, 3.14, 0.52, 0.95, 46.50, 0.032, 0.09, 0
2, 2, 152, 7.06, 0.01, 14.76, 0.04, 6.89, 0.04, 2.14, 0.01, 84.48, 0.16, 3.22, 0.53, 0.95, 46.28, 0.031, 0.09, 0
2, 3, 144, 35.04, 0.01, 21.37, 0.02, 6.53, 0.03, 2.23, 0.01, 86.47, 0.14, 2.93, 0.49, 0.94, 45.74, 0.040, 0.07, 0
2, 4, 144, 66.55, 0.01, 33.76, 0.03, 6.40, 0.04, 2.27, 0.01, 86.31, 0.18, 2.83, 0.48, 0.94, 45.58, 0.035, 0.10, 0
2, 5, 162, 54.33, 0.01, 35.31, 0.03, 7.06, 0.05, 2.20, 0.01, 86.76, 0.13, 3.21, 0.53, 0.95, 48.70, 0.034, 0.09, 0
2, 6, 220, 74.45, 0.03, 39.31, 0.12, 9.17, 0.17, 3.58, 0.03, 85.20, 0.67, 2.57, 0.44, 0.92, 103.04, 0.040, 0.53, 3
2, 7, 153, 25.04, 0.01, 42.87, 0.03, 6.75, 0.04, 2.36, 0.01, 86.30, 0.15, 2.86, 0.48, 0.94, 50.01, 0.034, 0.08, 0
2, 8, 149, 111.73, 0.01, 45.92, 0.03, 6.70, 0.04, 2.14, 0.01, 85.52, 0.17, 3.13, 0.52, 0.95, 45.05, 0.041, 0.09, 0
2, 9, 148, 69.07, 0.02, 49.10, 0.05, 7.25, 0.05, 2.32, 0.02, 82.99, 0.24, 3.12, 0.51, 0.95, 52.84, 0.030, 0.10, 6
2, 10, 157, 120.21, 0.01, 50.51, 0.03, 7.18, 0.04, 1.92, 0.01, 84.17, 0.12, 3.74, 0.58, 0.96, 43.26, 0.031, 0.08, 0
2, 11, 143, 45.29, 0.01, 51.44, 0.04, 6.78, 0.05, 1.93, 0.01, 84.62, 0.14, 3.52, 0.56, 0.96, 41.05, 0.031, 0.07, 0
2, 12, 154, 73.06, 0.03, 65.33, 0.07, 7.60, 0.08, 2.24, 0.03, 92.39, 0.26, 3.40, 0.55, 0.96, 53.36, 0.038, 0.16, 0
2, 13, 400, 4.72, 0.09, 58.57, 0.04, 3.02, 0.14, 1.03, 0.04, 19.99, 1.97, 2.93, 0.49, 0.94, 9.77, 0.002, 1.31, 6
2, 14, 248, 41.91, 0.01, 75.77, 0.11, 13.93, 0.16, 1.91, 0.01, 85.78, 0.09, 7.31, 0.76, 0.99, 83.44, 0.030, 0.14, 6
2, 15, 162, 60.81, 0.01, 71.51, 0.03, 6.75, 0.04, 2.41, 0.01, 82.88, 0.17, 2.80, 0.47, 0.93, 51.08, 0.024, 0.09, 6
2, 16, 136, 76.13, 0.01, 74.22, 0.03, 6.12, 0.04, 2.06, 0.01, 83.09, 0.17, 2.98, 0.50, 0.94, 39.54, 0.033, 0.08, 0
2, 17, 157, 52.92, 0.01, 81.40, 0.02, 7.21, 0.03, 2.31, 0.01, 89.82, 0.10, 3.12, 0.51, 0.95, 52.30, 0.037, 0.06, 0
2, 18, 199, 106.27, 0.01, 85.17, 0.05, 7.38, 0.07, 4.06, 0.01, 101.64, 0.34, 1.82, 0.29, 0.83, 94.07, 0.037, 0.21, 3
2, 19, 111, 114.23, 0.10, 83.00, 0.34, 6.86, 0.78, 2.88, 0.10, 81.12, 2.47, 2.38, 0.41, 0.91, 62.18, 0.039, 0.67, 3
