Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 162, 118.38, 0.01, 17.10, 0.02, 6.72, 0.03, 2.43, 0.01, 82.16, 0.16, 2.76, 0.47, 0.93, 51.28, 0.038, 0.09, 0
0, 2, 175, 69.40, 0.03, 25.83, 0.10, 6.81, 0.16, 2.79, 0.03, 91.39, 0.71, 2.44, 0.42, 0.91, 59.60, 0.032, 0.37, 3
0, 3, 400, 67.67, 0.11, 36.31, 0.03, 3.80, 0.17, 0.81, 0.04, 11.17, 0.99, 4.68, 0.65, 0.98, 9.69, 0.002, 1.11, 6
0, 4, 143, 89.75, 0.01, 43.93, 0.02, 6.08, 0.02, 2.52, 0.01, 88.02, 0.17, 2.41, 0.41, 0.91, 48.07, 0.047, 0.06, 0
0, 5, 241, 22.97, 15.21, 69.60, 21.62, 25.71, 22.96, 4.59, 0.79, 56.79, 14.37, 5.60, 0.70, 0.98, 370.63, 0.037, 0.92, 3
0, 6, 175, 22.70, 0.11, 69.18, 0.29, 10.16, 0.49, 3.02, 0.07, 67.10, 0.63, 3.36, 0.54, 0.95, 96.54, 0.032, 0.46, 3
0, 7, 152, 76.55, 0.01, 73.11, 0.02, 6.83, 0.03, 2.38, 0.01, 79.83, 0.13, 2.87, 0.48, 0.94, 51.04, 0.033, 0.07, 0
0, 8, 400, 26.28, 0.11, 101.21, 0.04, 3.54, 0.15, 0.88, 0.04, 13.26, 1.13, 4.03, 0.60, 0.97, 9.78, 0.002, 1.18, 6
1, 1, 400, 82.69, 0.11, 3.44, 0.03, 3.65, 0.16, 0.85, 0.04, 12.12, 1.17, 4.29, 0.62, 0.97, 9.73, 0.002, 1.15, 6
1, 2, 157, 68.85, 0.01, 12.63, 0.02, 6.56, 0.03, 2.57, 0.01, 84.96, 0.17, 2.56, 0.44, 0.92, 52.95, 0.042, 0.08, 0
1, 3, 155, 94.29, 0.01, 16.69, 0.03, 6.99, 0.03, 2.51, 0.01, 86.61, 0.15, 2.79, 0.47, 0.93, 55.04, 0.041, 0.08, 0
1, 4, 138, 22.45, 0.01, 23.80, 0.02, 6.18, 0.03, 2.39, 0.01, 85.10, 0.16, 2.59, 0.44, 0.92, 46.44, 0.041, 0.07, 0
1, 5, 103, 89.63, 0.01, 34.62, 0.03, 3.81, 0.03, 3.09, 0.02, 85.45, 1.33, 1.23, 0.10, 0.59, 36.98, 0.052, 0.09, 0
1, 6, 147, 45.08, 0.01, 44.25, 0.04, 6.38, 0.05, 2.23, 0.01, 82.85, 0.24, 2.87, 0.48, 0.94, 44.61, 0.035, 0.11, 0
1, 7, 122, 63.57, 0.09, 43.15, 0.13, 3.81, 0.15, 3.13, 0.09, 85.32, 12.06, 1.22, 0.10, 0.57, 37.45, 0.035, 0.59, 3
1, 8, 166, 39.72, 0.02, 46.36, 0.06, 7.42, 0.07, 2.10, 0.02, 87.70, 0.26, 3.53, 0.56, 0.96, 49.00, 0.035, 0.17, 0
1, 9, 143, 86.06, 0.01, 45.68, 0.03, 6.35, 0.04, 2.53, 0.01, 87.80, 0.22, 2.51, 0.43, 0.92, 50.48, 0.036, 0.08, 0
1, 10, 168, 67.66, 0.03, 51.54, 0.10, 7.13, 0.12, 2.58, 0.02, 81.06, 0.75, 2.77, 0.47, 0.93, 57.79, 0.041, 0.31, 3
1, 11, 164, 62.63, 0.03, 60.12, 0.11, 8.19, 0.14, 2.39, 0.02, 82.35, 0.32, 3.42, 0.55, 0.96, 61.60, 0.041, 0.23, 3
1, 12, 153, 74.66, 0.01, 62.00, 0.03, 6.61, 0.03, 2.64, 0.01, 83.69, 0.18, 2.50, 0.43, 0.92, 54.86, 0.034, 0.09, 0
