Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 168, 79.56, 0.01, 11.75, 0.02, 7.04, 0.02, 2.64, 0.01, 85.89, 0.13, 2.67, 0.45, 0.93, 58.37, 0.047, 0.07, 0
0, 2, 156, 16.53, 0.01, 17.39, 0.02, 7.13, 0.03, 2.61, 0.01, 87.42, 0.12, 2.73, 0.46, 0.93, 58.55, 0.044, 0.07, 0
0, 3, 167, 98.09, 0.03, 18.78, 0.12, 8.07, 0.22, 2.32, 0.02, 82.95, 0.78, 3.47, 0.55, 0.96, 58.89, 0.047, 0.28, 3
0, 4, 185, 45.01, 0.01, 25.83, 0.02, 7.99, 0.03, 3.01, 0.01, 85.61, 0.12, 2.65, 0.45, 0.93, 75.58, 0.052, 0.09, 4
0, 5, 155, 56.04, 0.01, 25.47, 0.03, 6.68, 0.04, 2.48, 0.01, 89.63, 0.15, 2.70, 0.46, 0.93, 51.96, 0.039, 0.08, 0
0, 6, 148, 35.70, 0.01, 33.83, 0.02, 6.55, 0.02, 2.41, 0.01, 90.45, 0.12, 2.72, 0.46, 0.93, 49.55, 0.047, 0.06, 0
0, 7, 400, 13.48, 0.16, 27.55, 0.02, 5.53, 0.22, 0.55, 0.03, 5.03, 0.50, 10.06, 0.82, 1.00, 9.57, 0.001, 0.87, 6
0, 8, 163, 70.68, 0.01, 66.69, 0.02, 7.50, 0.03, 2.44, 0.01, 85.53, 0.11, 3.08, 0.51, 0.95, 57.38, 0.042, 0.07, 0
0, 9, 147, 21.79, 0.01, 66.17, 0.03, 6.85, 0.04, 2.58, 0.01, 89.42, 0.14, 2.65, 0.45, 0.93, 55.46, 0.034, 0.08, 0
0, 10, 155, 44.56, 0.01, 70.22, 0.02, 6.76, 0.03, 2.41, 0.01, 89.79, 0.13, 2.80, 0.47, 0.93, 51.26, 0.040, 0.07, 0
0, 11, 175, 24.07, 0.01, 87.14, 0.02, 7.44, 0.03, 2.52, 0.01, 86.88, 0.12, 2.95, 0.49, 0.94, 58.86, 0.033, 0.08, 0
0, 12, 400, 38.12, 0.10, 83.84, 0.05, 3.40, 0.14, 0.95, 0.04, 15.59, 1.65, 3.57, 0.56, 0.96, 10.15, 0.002, 1.29, 6
0, 13, 174, 116.38, 0.01, 97.33, 0.03, 7.43, 0.04, 2.47, 0.01, 85.90, 0.14, 3.01, 0.50, 0.94, 57.67, 0.033, 0.09, 0
0, 14, 159, 100.82, 0.01, 103.60, 0.02, 6.76, 0.03, 2.62, 0.01, 84.20, 0.14, 2.58, 0.44, 0.92, 55.67, 0.038, 0.07, 0
0, 15, 150, 63.65, 0.01, 103.99, 0.02, 6.68, 0.02, 2.42, 0.01, 89.27, 0.13, 2.76, 0.47, 0.93, 50.79, 0.040, 0.06, 0
1, 1, 178, 59.20, 0.01, 24.81, 0.04, 8.06, 0.06, 2.42, 0.01, 81.54, 0.16, 3.33, 0.54, 0.95, 61.31, 0.041, 0.11, 0
1, 2, 184, 35.28, 0.01, 26.60, 0.03, 7.40, 0.04, 2.80, 0.02, 91.88, 0.20, 2.65, 0.45, 0.93, 65.02, 0.040, 0.13, 0
1, 3, 168, 103.28, 0.01, 31.70, 0.02, 7.13, 0.02, 2.45, 0.01, 86.93, 0.11, 2.91, 0.49, 0.94, 54.86, 0.052, 0.07, 0
1, 4, 155, 81.17, 0.01, 40.60, 0.03, 6.80, 0.04, 2.33, 0.01, 84.05, 0.13, 2.92, 0.49, 0.94, 49.80, 0.044, 0.08, 0
1, 5, 290, 107.67, 0.04, 61.26, 0.24, 12.36, 0.26, 2.44, 0.05, 82.91, 0.44, 5.07, 0.67, 0.98, 94.76, 0.037, 5.02, 3
1, 6, 154, 40.42, 0.01, 63.85, 0.02, 7.04, 0.03, 2.25, 0.01, 86.59, 0.12, 3.12, 0.52, 0.95, 49.85, 0.043, 0.06, 0
1, 7, 173, 52.67, 0.01, 69.78, 0.02, 7.95, 0.03, 2.53, 0.01, 83.43, 0.10, 3.15, 0.52, 0.95, 63.16, 0.040, 0.07, 0
1, 8, 400, 23.20, 0.10, 79.59, 0.03, 3.43, 0.14, 0.90, 0.04, 14.17, 1.36, 3.80, 0.58, 0.96, 9.70, 0.002, 1.19, 6
1, 9, 168, 70.33, 0.01, 98.12, 0.03, 7.62, 0.04, 2.44, 0.01, 84.16, 0.12, 3.12, 0.51, 0.95, 58.36, 0.035, 0.09, 0
1, 10, 172, 93.95, 0.03, 102.09, 0.13, 7.00, 0.17, 2.42, 0.04, 84.82, 0.54, 2.90, 0.49, 0.94, 53.13, 0.038, 0.33, 3
2, 1, 143, 83.33, 0.01, 7.60, 0.04, 6.57, 0.06, 2.14, 0.02, 85.07, 0.21, 3.08, 0.51, 0.95, 44.09, 0.043, 0.12, 0
2, 2, 134, 8.87, 0.02, 10.72, 0.07, 6.13, 0.09, 2.51, 0.02, 87.04, 0.66, 2.44, 0.42, 0.91, 48.44, 0.037, 0.14, 0
2, 3, 140, 26.89, 0.01, 10.45, 0.02, 5.94, 0.02, 2.25, 0.01, 83.48, 0.13, 2.64, 0.45, 0.93, 41.90, 0.050, 0.06, 0
2, 4, 147, 65.83, 0.01, 11.25, 0.02, 6.75, 0.03, 2.50, 0.01, 91.89, 0.13, 2.70, 0.46, 0.93, 53.08, 0.045, 0.06, 0
2, 5, 159, 43.68, 0.01, 19.66, 0.02, 6.69, 0.03, 2.44, 0.01, 82.85, 0.15, 2.74, 0.47, 0.93, 51.21, 0.046, 0.08, 0
2, 6, 185, 5.31, 0.03, 20.01, 0.11, 8.44, 0.14, 2.48, 0.02, 87.09, 0.56, 3.41, 0.55, 0.96, 65.73, 0.037, 0.18, 0
2, 7, 160, 71.94, 0.01, 23.61, 0.03, 6.85, 0.04, 2.38, 0.01, 80.75, 0.13, 2.87, 0.48, 0.94, 51.34, 0.043, 0.08, 0
2, 8, 168, 60.73, 0.05, 22.30, 0.14, 7.31, 0.18, 2.65, 0.04, 82.25, 1.30, 2.76, 0.47, 0.93, 60.78, 0.030, 0.45, 6
2, 9, 174, 83.51, 0.01, 27.58, 0.03, 7.92, 0.04, 2.53, 0.01, 86.18, 0.12, 3.13, 0.52, 0.95, 62.96, 0.048, 0.08, 0
2, 10, 400, 94.56, 0.11, 25.94, 0.03, 3.66, 0.15, 0.85, 0.03, 12.22, 1.16, 4.32, 0.62, 0.97, 9.76, 0.003, 1.15, 6
2, 11, 153, 42.60, 0.01, 34.65, 0.02, 6.75, 0.03, 2.38, 0.01, 82.44, 0.16, 2.83, 0.48, 0.94, 50.50, 0.046, 0.08, 0
2, 12, 177, 77.34, 0.08, 41.01, 0.21, 6.82, 0.23, 2.74, 0.08, 88.98, 1.29, 2.49, 0.43, 0.92, 58.71, 0.038, 0.61, 3
2, 13, 141, 19.06, 0.01, 41.33, 0.03, 6.43, 0.04, 2.50, 0.01, 88.76, 0.18, 2.58, 0.44, 0.92, 50.41, 0.039, 0.08, 0
2, 14, 158, 114.09, 0.01, 51.96, 0.02, 6.62, 0.02, 2.51, 0.01, 90.18, 0.13, 2.64, 0.45, 0.93, 52.19, 0.041, 0.07, 0
2, 15, 145, 80.84, 0.01, 52.50, 0.02, 6.15, 0.02, 2.45, 0.01, 83.50, 0.14, 2.51, 0.43, 0.92, 47.32, 0.043, 0.06, 0
2, 16, 148, 65.39, 0.01, 56.13, 0.06, 7.30, 0.07, 2.27, 0.01, 85.72, 0.27, 3.22, 0.53, 0.95, 51.94, 0.042, 0.11, 0
2, 17, 161, 101.58, 0.01, 55.70, 0.02, 7.10, 0.03, 2.34, 0.01, 89.76, 0.11, 3.03, 0.50, 0.94, 52.19, 0.046, 0.08, 0
2, 18, 250, 36.44, 0.06, 62.92, 0.15, 8.20, 0.18, 3.55, 0.06, 89.60, 2.11, 2.31, 0.40, 0.90, 91.46, 0.035, 0.98, 3
2, 19, 136, 67.48, 0.04, 65.69, 0.12, 6.16, 0.19, 2.25, 0.07, 80.71, 1.21, 2.74, 0.47, 0.93, 43.45, 0.039, 0.23, 3
2, 20, 325, 85.93, 0.10, 84.39, 0.70, 17.52, 1.20, 2.81, 0.06, 80.79, 0.32, 6.23, 0.72, 0.99, 154.91, 0.043, 3.47, 3
3, 1, 165, 60.35, 0.01, 9.27, 0.02, 6.98, 0.03, 2.55, 0.01, 87.76, 0.14, 2.74, 0.46, 0.93, 56.00, 0.036, 0.09, 0
3, 2, 202, 76.97, 0.15, 18.89, 0.26, 6.29, 0.35, 3.54, 0.15, 50.43, 3.87, 1.78, 0.28, 0.83, 70.07, 0.036, 1.19, 3
3, 3, 141, 17.30, 0.00, 20.71, 0.02, 6.62, 0.03, 2.30, 0.01, 88.97, 0.12, 2.87, 0.48, 0.94, 47.95, 0.042, 0.05, 0
3, 4, 135, 7.60, 0.01, 33.23, 0.02, 5.72, 0.02, 2.51, 0.01, 84.25, 0.20, 2.28, 0.39, 0.90, 45.13, 0.041, 0.07, 0
3, 5, 155, 88.98, 0.01, 36.36, 0.04, 7.00, 0.06, 2.34, 0.01, 88.40, 0.22, 2.99, 0.50, 0.94, 51.47, 0.049, 0.11, 0
3, 6, 137, 101.88, 0.01, 41.13, 0.02, 5.72, 0.02, 2.29, 0.01, 80.37, 0.20, 2.49, 0.43, 0.92, 41.26, 0.044, 0.08, 0
3, 7, 159, 51.59, 0.01, 47.81, 0.02, 7.34, 0.03, 2.63, 0.01, 87.90, 0.11, 2.79, 0.47, 0.93, 60.67, 0.044, 0.07, 0
3, 8, 139, 40.34, 0.01, 50.35, 0.02, 6.48, 0.04, 2.11, 0.01, 83.21, 0.13, 3.08, 0.51, 0.95, 42.93, 0.043, 0.06, 0
3, 9, 158, 17.80, 0.01, 52.61, 0.03, 6.82, 0.04, 2.42, 0.01, 82.41, 0.17, 2.82, 0.48, 0.94, 51.84, 0.036, 0.09, 0
3, 10, 164, 61.49, 0.01, 54.32, 0.02, 7.04, 0.03, 2.45, 0.01, 89.92, 0.14, 2.87, 0.48, 0.94, 54.16, 0.037, 0.08, 0
3, 11, 182, 84.40, 0.01, 63.21, 0.02, 7.77, 0.03, 2.71, 0.01, 85.92, 0.13, 2.86, 0.48, 0.94, 66.18, 0.039, 0.09, 0
3, 12, 166, 100.14, 0.01, 67.05, 0.02, 7.24, 0.03, 2.42, 0.01, 88.31, 0.11, 2.99, 0.50, 0.94, 55.04, 0.043, 0.07, 0
3, 13, 159, 84.17, 0.01, 84.60, 0.02, 7.13, 0.04, 2.22, 0.01, 83.43, 0.11, 3.20, 0.52, 0.95, 49.84, 0.042, 0.07, 0
3, 14, 176, 11.18, 0.01, 93.85, 0.03, 7.77, 0.04, 2.60, 0.01, 81.89, 0.13, 2.99, 0.50, 0.94, 63.39, 0.028, 0.08, 6
3, 15, 157, 41.93, 0.01, 98.99, 0.03, 7.14, 0.03, 2.45, 0.01, 82.76, 0.12, 2.92, 0.49, 0.94, 54.89, 0.034, 0.07, 0
4, 1, 172, 98.94, 0.03, 20.18, 0.14, 7.19, 0.18, 2.66, 0.04, 87.79, 0.63, 2.70, 0.46, 0.93, 60.06, 0.047, 0.41, 3
4, 2, 183, 103.41, 0.02, 22.68, 0.16, 8.26, 0.28, 2.32, 0.04, 87.07, 0.41, 3.57, 0.56, 0.96, 60.09, 0.045, 0.33, 3
4, 3, 150, 62.43, 0.01, 45.46, 0.02, 6.76, 0.03, 2.22, 0.01, 87.60, 0.12, 3.05, 0.51, 0.94, 47.13, 0.050, 0.06, 0
4, 4, 168, 33.65, 0.01, 46.21, 0.02, 7.06, 0.03, 2.38, 0.01, 86.15, 0.13, 2.97, 0.50, 0.94, 52.72, 0.043, 0.07, 0
4, 5, 264, 79.61, 0.04, 61.57, 0.19, 14.58, 0.38, 2.37, 0.03, 80.94, 0.18, 6.16, 0.72, 0.99, 108.37, 0.044, 9.94, 3
4, 6, 176, 70.64, 0.01, 68.91, 0.03, 7.80, 0.04, 2.35, 0.01, 81.23, 0.11, 3.33, 0.54, 0.95, 57.47, 0.037, 0.09, 0
4, 7, 157, 91.41, 0.01, 73.97, 0.02, 7.11, 0.03, 2.54, 0.01, 83.82, 0.12, 2.81, 0.47, 0.93, 56.66, 0.045, 0.07, 0
4, 8, 163, 18.07, 0.02, 77.01, 0.05, 7.41, 0.11, 2.46, 0.02, 82.77, 0.34, 3.01, 0.50, 0.94, 57.23, 0.033, 0.13, 0
4, 9, 166, 49.56, 0.01, 80.19, 0.03, 7.07, 0.04, 2.62, 0.01, 84.61, 0.17, 2.70, 0.46, 0.93, 58.11, 0.032, 0.10, 0
4, 10, 159, 59.14, 0.01, 80.72, 0.03, 7.00, 0.04, 2.43, 0.01, 83.87, 0.16, 2.88, 0.48, 0.94, 53.47, 0.037, 0.09, 0
4, 11, 400, 4.25, 0.10, 86.66, 0.03, 3.43, 0.14, 0.90, 0.04, 14.17, 1.32, 3.80, 0.58, 0.96, 9.71, 0.002, 1.19, 6
4, 12, 150, 86.12, 0.01, 97.03, 0.02, 6.86, 0.03, 2.20, 0.01, 90.42, 0.11, 3.12, 0.52, 0.95, 47.32, 0.037, 0.06, 0
4, 13, 400, 16.54, 0.09, 91.44, 0.04, 3.15, 0.13, 1.00, 0.04, 18.27, 1.73, 3.14, 0.52, 0.95, 9.92, 0.002, 1.30, 6
5, 1, 150, 78.03, 0.01, 9.38, 0.02, 6.46, 0.02, 2.26, 0.01, 82.82, 0.13, 2.86, 0.48, 0.94, 45.82, 0.047, 0.06, 0
5, 2, 151, 104.63, 0.01, 10.86, 0.03, 6.60, 0.04, 2.43, 0.01, 83.90, 0.17, 2.71, 0.46, 0.93, 50.44, 0.040, 0.09, 0
5, 3, 151, 119.79, 0.01, 15.30, 0.02, 6.00, 0.02, 2.45, 0.01, 83.50, 0.16, 2.44, 0.42, 0.91, 46.23, 0.043, 0.07, 0
5, 4, 155, 80.98, 0.01, 29.99, 0.03, 6.92, 0.04, 2.52, 0.01, 84.95, 0.14, 2.74, 0.47, 0.93, 54.83, 0.042, 0.08, 0
5, 5, 156, 103.23, 0.01, 38.43, 0.02, 7.05, 0.03, 2.59, 0.01, 88.95, 0.14, 2.73, 0.46, 0.93, 57.26, 0.047, 0.07, 0
5, 6, 156, 68.11, 0.01, 39.74, 0.02, 6.80, 0.03, 2.41, 0.01, 84.80, 0.12, 2.82, 0.48, 0.93, 51.52, 0.048, 0.07, 0
5, 7, 140, 94.84, 0.01, 48.47, 0.02, 5.56, 0.03, 2.66, 0.01, 81.83, 0.23, 2.09, 0.35, 0.88, 46.53, 0.041, 0.08, 0
5, 8, 165, 21.69, 0.01, 60.11, 0.02, 7.29, 0.03, 2.41, 0.01, 84.41, 0.11, 3.03, 0.50, 0.94, 55.21, 0.041, 0.07, 0
5, 9, 144, 106.93, 0.01, 65.64, 0.02, 6.40, 0.03, 2.54, 0.01, 86.43, 0.14, 2.52, 0.43, 0.92, 51.14, 0.046, 0.07, 0
5, 10, 141, 42.54, 0.01, 68.44, 0.02, 6.48, 0.03, 2.18, 0.01, 83.51, 0.12, 2.97, 0.50, 0.94, 44.35, 0.039, 0.06, 0
5, 11, 149, 71.78, 0.03, 69.60, 0.10, 6.49, 0.13, 2.33, 0.03, 80.53, 1.11, 2.78, 0.47, 0.93, 47.57, 0.041, 0.28, 3
5, 12, 183, 66.79, 0.04, 75.21, 0.14, 7.04, 0.16, 2.40, 0.04, 80.20, 0.69, 2.94, 0.49, 0.94, 53.04, 0.035, 0.44, 3
5, 13, 162, 82.36, 0.11, 80.23, 0.26, 6.38, 0.22, 3.03, 0.10, 79.72, 2.08, 2.11, 0.36, 0.88, 60.67, 0.037, 0.80, 3
5, 14, 153, 101.40, 0.01, 82.40, 0.02, 6.43, 0.03, 2.30, 0.01, 83.93, 0.16, 2.80, 0.47, 0.93, 46.45, 0.042, 0.09, 0
5, 15, 140, 87.40, 0.01, 87.70, 0.03, 6.35, 0.03, 2.36, 0.01, 83.97, 0.15, 2.69, 0.46, 0.93, 47.07, 0.042, 0.07, 0
5, 16, 160, 49.40, 0.01, 89.83, 0.02, 7.22, 0.04, 2.41, 0.01, 83.43, 0.12, 3.00, 0.50, 0.94, 54.70, 0.033, 0.07, 0
5, 17, 400, 34.24, 0.09, 96.25, 0.03, 3.42, 0.14, 0.90, 0.04, 14.20, 1.27, 3.79, 0.58, 0.96, 9.70, 0.002, 1.19, 6
5, 18, 400, 7.33, 0.10, 98.08, 0.03, 3.54, 0.15, 0.88, 0.04, 13.21, 1.05, 4.02, 0.60, 0.97, 9.78, 0.001, 1.19, 6
6, 1, 147, 83.62, 0.01, 21.73, 0.02, 6.73, 0.03, 2.40, 0.01, 87.07, 0.11, 2.81, 0.47, 0.93, 50.68, 0.048, 0.06, 0
6, 2, 144, 40.32, 0.01, 27.20, 0.02, 5.76, 0.02, 2.33, 0.01, 83.40, 0.15, 2.47, 0.42, 0.91, 42.11, 0.048, 0.06, 0
6, 3, 155, 82.15, 0.01, 37.33, 0.04, 6.86, 0.05, 2.70, 0.01, 85.40, 0.19, 2.54, 0.44, 0.92, 58.18, 0.042, 0.10, 0
6, 4, 156, 50.29, 0.01, 47.09, 0.03, 6.96, 0.03, 2.50, 0.01, 85.52, 0.14, 2.78, 0.47, 0.93, 54.74, 0.046, 0.08, 0
6, 5, 149, 115.90, 0.01, 50.48, 0.02, 6.84, 0.03, 2.15, 0.01, 84.78, 0.11, 3.18, 0.52, 0.95, 46.21, 0.050, 0.06, 0
6, 6, 168, 75.51, 0.01, 60.26, 0.02, 6.84, 0.03, 2.74, 0.01, 85.28, 0.16, 2.49, 0.43, 0.92, 58.92, 0.037, 0.09, 0
6, 7, 156, 100.92, 0.01, 69.37, 0.02, 7.12, 0.03, 2.31, 0.01, 83.56, 0.11, 3.09, 0.51, 0.95, 51.64, 0.045, 0.07, 0
6, 8, 159, 5.34, 0.01, 70.62, 0.03, 6.76, 0.05, 3.16, 0.01, 79.71, 0.23, 2.14, 0.36, 0.88, 67.03, 0.037, 0.11, 0
6, 9, 144, 21.25, 0.01, 79.44, 0.02, 6.42, 0.03, 2.63, 0.01, 83.60, 0.15, 2.44, 0.42, 0.91, 53.15, 0.034, 0.06, 0
6, 10, 400, 27.28, 0.10, 91.54, 0.05, 3.40, 0.15, 0.95, 0.04, 15.61, 1.76, 3.58, 0.56, 0.96, 10.16, 0.002, 1.28, 6
6, 11, 400, 13.82, 0.10, 93.96, 0.03, 3.42, 0.13, 0.91, 0.04, 14.34, 1.41, 3.77, 0.58, 0.96, 9.72, 0.002, 1.20, 6
6, 12, 159, 87.44, 0.01, 102.03, 0.02, 6.89, 0.03, 2.29, 0.01, 85.75, 0.14, 3.01, 0.50, 0.94, 49.58, 0.040, 0.07, 0
6, 13, 150, 75.92, 0.01, 104.39, 0.02, 6.23, 0.03, 2.58, 0.01, 86.66, 0.16, 2.41, 0.41, 0.91, 50.60, 0.038, 0.08, 0
7, 1, 189, 55.39, 0.01, 15.82, 0.03, 8.11, 0.04, 2.70, 0.01, 87.38, 0.11, 3.00, 0.50, 0.94, 68.78, 0.043, 0.09, 0
7, 2, 272, 64.54, 0.06, 44.82, 0.18, 8.68, 0.24, 3.84, 0.06, 89.92, 2.25, 2.26, 0.39, 0.90, 104.80, 0.041, 20.15, 3
7, 3, 400, 18.03, 0.11, 47.48, 0.04, 3.65, 0.15, 0.89, 0.04, 13.15, 1.37, 4.11, 0.61, 0.97, 10.18, 0.002, 1.23, 6
7, 4, 151, 38.50, 0.01, 55.36, 0.03, 6.88, 0.04, 2.46, 0.01, 86.48, 0.14, 2.80, 0.47, 0.93, 53.04, 0.045, 0.07, 0
7, 5, 149, 86.78, 0.01, 56.36, 0.02, 5.88, 0.03, 2.57, 0.01, 84.85, 0.18, 2.29, 0.39, 0.90, 47.52, 0.038, 0.08, 0
