Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 120, 66.26, 0.01, 6.39, 0.01, 4.03, 0.02, 2.71, 0.01, 79.30, 0.53, 1.48, 0.20, 0.74, 34.29, 0.045, 0.08, 0
0, 2, 149, 9.56, 0.01, 19.06, 0.02, 6.31, 0.02, 2.51, 0.01, 87.48, 0.14, 2.52, 0.43, 0.92, 49.63, 0.041, 0.06, 0
0, 3, 138, 42.62, 0.01, 25.37, 0.02, 6.20, 0.03, 2.18, 0.01, 87.86, 0.14, 2.84, 0.48, 0.94, 42.44, 0.051, 0.06, 0
0, 4, 141, 28.27, 0.01, 32.08, 0.02, 5.63, 0.02, 2.47, 0.01, 86.22, 0.18, 2.28, 0.39, 0.90, 43.64, 0.044, 0.06, 0
0, 5, 163, 64.74, 0.04, 35.90, 0.20, 6.84, 0.28, 2.30, 0.05, 86.64, 0.81, 2.98, 0.50, 0.94, 49.32, 0.052, 0.49, 3
0, 6, 149, 12.95, 0.05, 38.14, 0.19, 7.38, 0.14, 2.12, 0.03, 89.99, 0.42, 3.47, 0.55, 0.96, 49.24, 0.043, 0.18, 0
0, 7, 140, 118.01, 0.01, 37.47, 0.02, 5.94, 0.02, 2.35, 0.01, 85.81, 0.16, 2.53, 0.43, 0.92, 43.84, 0.054, 0.07, 0
0, 8, 136, 68.33, 0.03, 42.21, 0.13, 6.40, 0.35, 2.10, 0.05, 88.45, 0.45, 3.05, 0.51, 0.94, 42.22, 0.052, 0.31, 3
0, 9, 131, 54.55, 0.01, 43.48, 0.02, 5.66, 0.02, 2.45, 0.01, 88.71, 0.17, 2.31, 0.40, 0.90, 43.57, 0.050, 0.06, 0
0, 10, 228, 15.91, 0.03, 51.59, 0.12, 8.72, 0.15, 3.49, 0.03, 97.21, 0.68, 2.50, 0.43, 0.92, 95.53, 0.039, 0.54, 3
0, 11, 99, 117.72, 0.03, 48.48, 0.03, 3.21, 0.03, 2.71, 0.04, 79.14, 2.93, 1.18, 0.08, 0.53, 27.33, 0.055, 0.15, 0
0, 12, 150, 91.13, 0.01, 54.54, 0.02, 6.67, 0.02, 2.24, 0.01, 88.49, 0.12, 2.98, 0.50, 0.94, 46.88, 0.052, 0.06, 0
0, 13, 138, 46.73, 0.01, 65.62, 0.02, 5.79, 0.02, 2.59, 0.01, 86.13, 0.17, 2.23, 0.38, 0.89, 47.19, 0.043, 0.07, 0
0, 14, 131, 61.69, 0.01, 66.83, 0.02, 5.67, 0.03, 2.05, 0.01, 84.63, 0.17, 2.77, 0.47, 0.93, 36.43, 0.038, 0.06, 0
0, 15, 131, 3.22, 0.01, 66.76, 0.03, 5.37, 0.03, 2.10, 0.01, 82.88, 0.21, 2.56, 0.44, 0.92, 35.36, 0.032, 0.07, 0
0, 16, 136, 97.96, 0.01, 71.19, 0.02, 5.80, 0.02, 2.25, 0.01, 88.68, 0.17, 2.58, 0.44, 0.92, 40.90, 0.051, 0.06, 0
0, 17, 137, 112.37, 0.01, 71.32, 0.02, 5.71, 0.02, 2.41, 0.01, 87.12, 0.17, 2.36, 0.41, 0.91, 43.26, 0.055, 0.06, 0
0, 18, 279, 56.01, 0.21, 86.80, 0.81, 14.73, 1.31, 2.49, 0.07, 73.51, 0.62, 5.91, 0.71, 0.99, 115.30, 0.037, 9.27, 3
0, 19, 165, 84.76, 0.01, 84.06, 0.05, 7.53, 0.07, 2.55, 0.01, 84.96, 0.23, 2.96, 0.49, 0.94, 60.25, 0.041, 0.12, 0
0, 20, 182, 36.59, 0.05, 87.08, 0.10, 6.54, 0.13, 3.37, 0.05, 84.57, 1.14, 1.94, 0.32, 0.86, 69.24, 0.035, 0.52, 3
