Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 158, 22.74, 0.01, 13.93, 0.03, 6.88, 0.04, 2.60, 0.01, 86.46, 0.16, 2.64, 0.45, 0.93, 56.18, 0.043, 0.09, 0
0, 2, 142, 15.94, 0.01, 25.65, 0.02, 6.55, 0.04, 2.34, 0.01, 84.68, 0.15, 2.79, 0.47, 0.93, 48.19, 0.042, 0.07, 0
0, 3, 400, 76.65, 0.11, 22.17, 0.05, 3.40, 0.15, 0.95, 0.04, 15.52, 1.83, 3.60, 0.56, 0.96, 10.10, 0.002, 1.28, 6
0, 4, 167, 106.76, 0.01, 40.03, 0.02, 6.94, 0.03, 2.59, 0.01, 85.23, 0.13, 2.68, 0.46, 0.93, 56.54, 0.051, 0.07, 0
0, 5, 153, 90.98, 0.01, 40.99, 0.03, 6.85, 0.03, 2.35, 0.01, 85.06, 0.13, 2.91, 0.49, 0.94, 50.60, 0.042, 0.07, 0
0, 6, 154, 59.64, 0.01, 41.07, 0.02, 6.85, 0.03, 2.56, 0.01, 86.73, 0.13, 2.68, 0.46, 0.93, 54.98, 0.048, 0.07, 0
0, 7, 146, 117.45, 0.01, 47.26, 0.03, 6.53, 0.04, 2.21, 0.01, 81.64, 0.17, 2.95, 0.49, 0.94, 45.37, 0.039, 0.08, 0
0, 8, 181, 90.31, 0.01, 57.51, 0.03, 8.28, 0.05, 2.86, 0.01, 87.95, 0.16, 2.90, 0.49, 0.94, 74.31, 0.051, 0.11, 4
0, 9, 162, 5.26, 0.01, 60.92, 0.03, 7.34, 0.03, 2.19, 0.01, 85.20, 0.10, 3.36, 0.54, 0.95, 50.50, 0.037, 0.07, 0
0, 10, 400, 81.65, 0.11, 54.67, 0.05, 3.40, 0.15, 0.95, 0.04, 15.52, 1.83, 3.60, 0.56, 0.96, 10.10, 0.002, 1.28, 6
0, 11, 159, 67.62, 0.01, 64.12, 0.02, 6.61, 0.03, 2.74, 0.01, 88.12, 0.17, 2.41, 0.41, 0.91, 56.87, 0.038, 0.09, 0
0, 12, 400, 75.07, 0.10, 66.46, 0.03, 3.43, 0.15, 0.90, 0.04, 14.15, 1.31, 3.82, 0.58, 0.97, 9.71, 0.002, 1.19, 6
0, 13, 139, 113.89, 0.04, 79.41, 0.37, 6.68, 0.40, 2.18, 0.06, 84.37, 1.29, 3.07, 0.51, 0.95, 45.71, 0.024, 0.47, 6
1, 1, 151, 94.76, 0.04, 10.60, 0.08, 7.18, 0.08, 2.53, 0.03, 84.71, 0.85, 2.84, 0.48, 0.94, 57.08, 0.048, 0.20, 3
1, 2, 400, 107.24, 0.11, 26.10, 0.03, 3.79, 0.16, 0.81, 0.03, 11.13, 1.06, 4.66, 0.65, 0.98, 9.69, 0.002, 1.11, 6
1, 3, 150, 16.12, 0.01, 35.79, 0.02, 6.43, 0.03, 2.53, 0.01, 84.54, 0.17, 2.54, 0.44, 0.92, 51.01, 0.036, 0.08, 0
1, 4, 159, 40.27, 0.01, 39.14, 0.02, 7.02, 0.03, 2.36, 0.01, 86.11, 0.12, 2.97, 0.50, 0.94, 52.11, 0.048, 0.07, 0
1, 5, 180, 96.38, 0.01, 47.85, 0.03, 7.93, 0.04, 2.76, 0.01, 87.26, 0.12, 2.87, 0.48, 0.94, 68.79, 0.045, 0.09, 0
1, 6, 400, 10.11, 0.10, 41.33, 0.04, 3.29, 0.16, 0.94, 0.04, 15.90, 1.50, 3.48, 0.55, 0.96, 9.77, 0.003, 1.24, 6
1, 7, 147, 55.32, 0.01, 55.72, 0.02, 6.50, 0.03, 2.29, 0.01, 84.09, 0.14, 2.84, 0.48, 0.94, 46.69, 0.042, 0.07, 0
1, 8, 400, 25.25, 0.11, 50.17, 0.03, 3.53, 0.16, 0.88, 0.04, 13.26, 1.28, 4.01, 0.60, 0.97, 9.79, 0.002, 1.19, 6
1, 9, 166, 65.11, 0.01, 62.67, 0.02, 7.42, 0.03, 2.48, 0.01, 85.50, 0.11, 2.99, 0.50, 0.94, 57.82, 0.044, 0.07, 0
1, 10, 140, 96.25, 0.01, 64.51, 0.02, 6.00, 0.03, 2.42, 0.01, 86.30, 0.17, 2.48, 0.42, 0.91, 45.71, 0.045, 0.08, 0
1, 11, 400, 39.78, 0.10, 72.39, 0.05, 3.40, 0.14, 0.95, 0.04, 15.70, 1.74, 3.56, 0.56, 0.96, 10.19, 0.002, 1.29, 6
1, 12, 221, 116.79, 0.02, 99.56, 0.06, 8.18, 0.07, 3.62, 0.03, 72.62, 0.54, 2.26, 0.39, 0.90, 92.98, 0.033, 0.33, 3
1, 13, 164, 77.56, 0.01, 104.25, 0.03, 7.10, 0.03, 2.34, 0.01, 84.84, 0.12, 3.03, 0.50, 0.94, 52.27, 0.040, 0.08, 0
